"date","daily_flow.Open","daily_hypo","daily_epi","daily_chla","daily_tp","daily_doc","daily_swdoc","daily_secchi"
2000-05-27,421,,,,,,,
2000-05-28,465,,,,,,,
2000-05-29,665,,,,,,,
2000-05-30,688,,,,,,,
2000-05-31,674,,,,,,,
2000-06-01,725,,,,,,,
2000-06-02,426,,,,,,,
2000-06-03,504,,,,,,,
2000-06-04,479,,,,,,,
2000-06-05,657,,,,,,,
2000-06-06,721,,,,,,,
2000-06-07,779,,,,,,,
2000-06-08,676,,,,,,,
2000-06-09,765,,,,,,,
2000-06-10,378,,,,,,,
2000-06-11,344,,,,,,,
2000-06-12,523,,,,,,,
2000-06-13,688,,,,,,8.74636363636364,
2000-06-14,786,,,,,,,
2000-06-14,,7.4,10.9,,5,3.7125,,4.5
2000-06-15,727,,,,,,7.11,
2000-06-16,686,,,,,,,
2000-06-17,732,,,,,,,
2000-06-18,733,,,,,,,
2000-06-19,735,,,,,,,
2000-06-20,494,,,,,,,
2000-06-21,494,,,,,,,
2000-06-22,377,,,,,,,
2000-06-23,179,,,,,,,
2000-06-24,163,,,,,,,
2000-06-25,201,,,,,,,
2000-06-26,685,,,,,,,
2000-06-27,572,,,,,,,
2000-06-28,684,,,,,,,
2000-06-29,426,,,,,,,
2000-06-30,414,,,,,,,
2000-07-01,350,,,,,,,
2000-07-02,209,,,,,,,
2000-07-03,430,,,,,,,
2000-07-04,515,,,,,,,
2000-07-05,360,,,,,,,
2000-07-06,253,,,,,,,
2000-07-07,165,,,,,,,
2000-07-08,174,,,,,,,
2000-07-09,169,,,,,,,
2000-07-10,239,,,,,,,
2000-07-11,169,,,,,,,
2000-07-12,271,,,,,,,
2000-07-13,447,,,,,,,
2000-07-14,669,,,,,,,
2000-07-15,629,,,,,,,
2000-07-16,547,,,,,,,
2000-07-17,711,,,,,,12.8209090909091,
2000-07-18,727,,,,,,6.93,
2000-07-19,728,,,,,,,
2000-07-20,721,,,,,,,
2000-07-21,717,,,,,,,
2000-07-22,727,,,,,,,
2000-07-23,653,,,,,,,
2000-07-24,728,,,,,,,
2000-07-25,732,,,,,,,
2000-07-26,738,,,,,,,
2000-07-27,625,,,,,,,
2000-07-28,365,,,,,,,
2000-07-29,712,,,,,,,
2000-07-30,723,,,,,,,
2000-07-31,729,,,,,,,
2000-08-01,728,,,,,,,
2000-08-02,729,,,,,,,
2000-08-03,734,,,,,,,
2000-08-04,734,,,,,,,
2000-08-05,736,,,,,,,
2000-08-06,738,,,,,,,
2000-08-07,651,,,,,,,
2000-08-08,611,,,,,,,
2000-08-09,593,,,,,,,
2000-08-10,595,,,,,,,
2000-08-11,597,,,,,,,
2000-08-12,598,,,,,,,
2000-08-13,600,,,,,,,
2000-08-14,613,,,,,,11.07,
2000-08-15,608,,,,,,8.49375,
2000-08-15,,7.8,16.9,,8.75,3.3975,,
2000-08-16,607,,,,,,,
2000-08-17,609,,,,,,,
2000-08-18,612,,,,,,,
2000-08-19,605,,,,,,,
2000-08-20,605,,,,,,,
2000-08-21,608,,,,,,,
2000-08-22,611,,,,,,,
2000-08-23,607,,,,,,,
2000-08-24,602,,,,,,,
2000-08-25,603,,,,,,,
2000-08-26,601,,,,,,,
2000-08-27,600,,,,,,,
2000-08-28,603,,,,,,,
2000-08-29,609,,,,,,,
2000-08-30,625,,,,,,,
2000-08-31,751,,,,,,,
2000-09-01,751,,,,,,,
2000-09-02,739,,,,,,,
2000-09-03,753,,,,,,,
2000-09-04,567,,,,,,,
2000-09-05,447,,,,,,,
2000-09-06,452,,,,,,,
2000-09-07,424,,,,,,,
2000-09-08,457,,,,,,,
2000-09-09,542,,,,,,,
2000-09-10,458,,,,,,,
2000-09-11,375,,,,,,,
2000-09-12,411,,,,,,7.65,
2000-09-13,431,,,,,,6.975,
2000-09-14,433,,,,,,,
2000-09-15,436,,,,,,,
2000-09-16,529,,,,,,,
2000-09-17,345,,,,,,,
2000-09-18,381,,,,,,10.08,
2000-09-19,417,,,,,,,
2000-09-20,429,,,,,,,
2000-09-21,435,,,,,,,
2000-09-22,458,,,,,,,
2000-09-23,543,,,,,,,
2000-09-24,537,,,,,,,
2000-09-25,450,,,,,,,
2000-09-26,374,,,,,,,
2000-09-27,449,,,,,,,
2000-09-28,471,,,,,,,
2000-09-29,537,,,,,,,
2000-09-30,538,,,,,,,
2000-10-01,536,,,,,,,
2000-10-02,539,,,,,,,
2000-10-03,533,,,,,,,
2000-10-04,537,,,,,,,
2000-10-05,536,,,,,,,
2000-10-06,546,,,,,,,
2000-10-07,609,,,,,,,
2000-10-08,610,,,,,,,
2000-10-09,565,,,,,,,
2000-10-10,546,,,,,,,
2000-10-11,541,,,,,,,
2000-10-11,,9.4,12.6,,5,3.8025,,4.5
2000-10-12,701,,,,,,,
2000-10-13,617,,,,,,,
2000-10-14,554,,,,,,,
2000-10-15,554,,,,,,,
2000-10-16,498,,,,,,10.4123076923077,
2000-10-17,372,,,,,,,
2000-10-18,292,,,,,,,
2000-10-19,292,,,,,,,
2000-10-20,338,,,,,,,
2000-10-21,590,,,,,,,
2000-10-22,587,,,,,,,
2000-10-23,565,,,,,,,
2000-10-24,585,,,,,,,
2000-10-25,573,,,,,,,
2000-10-26,525,,,,,,,
2000-10-27,558,,,,,,,
2000-10-28,578,,,,,,,
2000-10-29,566,,,,,,,
2000-10-30,574,,,,,,,
2000-10-31,616,,,,,,,
2000-11-01,635,,,,,,,
2000-11-02,753,,,,,,,
2000-11-03,770,,,,,,,
2000-11-04,807,,,,,,,
2000-11-05,816,,,,,,,
2000-11-06,827,,,,,,,
2000-11-07,848,,,,,,,
2000-11-08,831,,,,,,,
2000-11-09,831,,,,,,,
2000-11-10,833,,,,,,,
2000-11-11,817,,,,,,,
2000-11-12,825,,,,,,,
2000-11-13,915,,,,,,11.9025,
2000-11-14,913,,,,,,10.2857142857143,
2000-11-15,912,,,,,,7.83,
2000-11-16,915,,,,,,,
2000-11-17,913,,,,,,,
2000-11-18,913,,,,,,,
2000-11-19,945,,,,,,,
2000-11-20,1070,,,,,,,
2000-11-21,1110,,,,,,,
2000-11-22,1100,,,,,,,
2000-11-23,1110,,,,,,,
2000-11-24,1120,,,,,,,
2000-11-25,1120,,,,,,,
2000-11-26,1120,,,,,,,
2000-11-27,1120,,,,,,,
2000-11-28,1130,,,,,,,
2000-11-29,1120,,,,,,,
2000-11-30,1060,,,,,,7.02,
2000-12-01,1090,,,,,,,
2000-12-02,1090,,,,,,,
2000-12-03,1060,,,,,,,
2000-12-04,1050,,,,,,,
2000-12-05,1060,,,,,,,
2000-12-06,1080,,,,,,,
2000-12-07,1070,,,,,,,
2000-12-08,1070,,,,,,,
2000-12-09,1070,,,,,,,
2000-12-10,1070,,,,,,,
2000-12-11,1040,,,,,,11.9475,
2000-12-12,1050,,,,,,9.30857142857143,
2000-12-13,910,,,,,,,
2000-12-14,901,,,,,,,
2000-12-15,945,,,,,,,
2000-12-16,988,,,,,,,
2000-12-17,1090,,,,,,,
2000-12-18,1120,,,,,,7.29,
2000-12-19,1150,,,,,,,
2000-12-20,1170,,,,,,,
2000-12-21,1170,,,,,,,
2000-12-22,1170,,,,,,,
2000-12-23,1160,,,,,,,
2000-12-24,1160,,,,,,,
2000-12-25,1150,,,,,,,
2000-12-26,1160,,,,,,,
2000-12-27,1170,,,,,,,
2000-12-28,1170,,,,,,,
2000-12-29,1150,,,,,,,
2000-12-30,1130,,,,,,,
2000-12-31,1140,,,,,,,
2001-01-01,1150,,,,,,,
2001-01-02,1140,,,,,,,
2001-01-03,1110,,,,,,,
2001-01-04,1110,,,,,,,
2001-01-05,1140,,,,,,,
2001-01-06,1060,,,,,,,
2001-01-07,1020,,,,,,,
2001-01-08,962,,,,,,,
2001-01-09,1010,,,,,,,
2001-01-10,1070,,,,,,,
2001-01-11,1120,,,,,,,
2001-01-12,1150,,,,,,,
2001-01-13,1170,,,,,,,
2001-01-14,1170,,,,,,,
2001-01-15,1180,,,,,,11.415,
2001-01-16,1160,,,,,,10.1185714285714,
2001-01-17,1170,,,,,,,
2001-01-18,1180,,,,,,,
2001-01-19,1180,,,,,,,
2001-01-20,1190,,,,,,,
2001-01-21,1180,,,,,,,
2001-01-22,1190,,,,,,,
2001-01-23,1190,,,,,,,
2001-01-24,1140,,,,,,,
2001-01-25,1080,,,,,,,
2001-01-26,1100,,,,,,,
2001-01-27,1110,,,,,,,
2001-01-28,1110,,,,,,,
2001-01-29,1120,,,,,,,
2001-01-30,1160,,,,,,,
2001-01-31,1160,,,,,,,
2001-02-01,1170,,,,,,,
2001-02-02,1180,,,,,,,
2001-02-03,1190,,,,,,,
2001-02-04,1130,,,,,,,
2001-02-05,1060,,,,,,,
2001-02-06,987,,,,,,,
2001-02-07,993,,,,,,,
2001-02-08,1060,,,,,,,
2001-02-09,1100,,,,,,,
2001-02-10,1130,,,,,,,
2001-02-11,1140,,,,,,,
2001-02-12,1090,,,,,,8.505,
2001-02-13,1120,,,,,,,
2001-02-14,1140,,,,,,11.034,
2001-02-15,1140,,,,,,5.13,
2001-02-16,1150,,,,,,,
2001-02-17,1150,,,,,,,
2001-02-18,1160,,,,,,,
2001-02-19,1170,,,,,,,
2001-02-20,1170,,,,,,,
2001-02-21,1120,,,,,,,
2001-02-22,1150,,,,,,,
2001-02-23,1180,,,,,,,
2001-02-24,1170,,,,,,,
2001-02-25,1170,,,,,,,
2001-02-26,1170,,,,,,,
2001-02-27,1180,,,,,,,
2001-02-28,1180,,,,,,,
2001-03-01,1180,,,,,,,
2001-03-02,1160,,,,,,,
2001-03-03,1160,,,,,,,
2001-03-04,1120,,,,,,,
2001-03-05,1110,,,,,,,
2001-03-06,1120,,,,,,,
2001-03-07,1130,,,,,,,
2001-03-08,1150,,,,,,,
2001-03-09,1170,,,,,,,
2001-03-10,1160,,,,,,,
2001-03-11,1160,,,,,,,
2001-03-12,1100,,,,,,9.09,
2001-03-13,1040,,,,,,9.09,
2001-03-14,1050,,,,,,9.81,
2001-03-15,1090,,,,,,6.75,
2001-03-16,1100,,,,,,,
2001-03-17,1110,,,,,,,
2001-03-18,1130,,,,,,,
2001-03-19,1150,,,,,,,
2001-03-20,1140,,,,,,,
2001-03-21,1130,,,,,,,
2001-03-22,1140,,,,,,,
2001-03-23,1140,,,,,,,
2001-03-24,1140,,,,,,,
2001-03-25,1140,,,,,,,
2001-03-26,1140,,,,,,,
2001-03-27,1140,,,,,,,
2001-03-28,1140,,,,,,,
2001-03-29,1140,,,,,,,
2001-03-30,1130,,,,,,,
2001-03-31,1120,,,,,,,
2001-04-01,1120,,,,,,,
2001-04-02,1130,,,,,,,
2001-04-03,1110,,,,,,,
2001-04-04,1070,,,,,,,
2001-04-05,1050,,,,,,,
2001-04-06,1090,,,,,,,
2001-04-07,1070,,,,,,,
2001-04-08,1020,,,,,,,
2001-04-09,1000,,,,,,9.225,
2001-04-10,1020,,,,,,,
2001-04-11,1010,,,,,,,
2001-04-12,1000,,,,,,,
2001-04-13,1000,,,,,,,
2001-04-14,993,,,,,,,
2001-04-15,991,,,,,,,
2001-04-16,991,,,,,,,
2001-04-17,992,,,,,,10.04,
2001-04-18,995,,,,,,,
2001-04-19,1010,,,,,,,
2001-04-20,987,,,,,,,
2001-04-21,1020,,,,,,,
2001-04-22,1020,,,,,,,
2001-04-23,1020,,,,,,,
2001-04-24,1020,,,,,,,
2001-04-25,1020,,,,,,,
2001-04-25,,1.9,2.1,3.7,6.25,4.41,,4.3
2001-04-26,1020,,,,,,,
2001-04-27,1020,,,,,,,
2001-04-28,1020,,,,,,,
2001-04-29,1010,,,,,,,
2001-04-30,1020,,,,,,,
2001-05-01,1020,,,,,,,
2001-05-02,1020,,,,,,,
2001-05-03,1020,,,,,,,
2001-05-04,1010,,,,,,,
2001-05-05,1010,,,,,,,
2001-05-06,1020,,,,,,,
2001-05-07,1020,,,,,,,
2001-05-08,1020,,,,,,,
2001-05-09,1010,,,,,,,
2001-05-10,1010,,,,,,,
2001-05-11,1010,,,,,,,
2001-05-12,1010,,,,,,,
2001-05-13,1010,,,,,,,
2001-05-14,1010,,,,,,9.558,
2001-05-15,1010,,,,,,9.18,
2001-05-15,,3.5,3.6,3.3,7.75,4.4775,,4.3
2001-05-16,1010,,,,,,,
2001-05-17,1000,,,,,,33.48,
2001-05-18,1000,,,,,,,
2001-05-19,1010,,,,,,,
2001-05-20,1000,,,,,,,
2001-05-21,1000,,,,,,,
2001-05-22,1010,,,,,,,
2001-05-23,1010,,,,,,,
2001-05-24,1020,,,,,,,
2001-05-25,1010,,,,,,,
2001-05-26,1010,,,,,,,
2001-05-27,1010,,,,,,,
2001-05-28,1000,,,,,,,
2001-05-29,917,,,,,,,
2001-05-30,911,,,,,,,
2001-05-31,907,,,,,,,
2001-06-01,897,,,,,,,
2001-06-02,903,,,,,,,
2001-06-03,912,,,,,,,
2001-06-04,904,,,,,,,
2001-06-05,897,,,,,,,
2001-06-06,903,,,,,,,
2001-06-07,899,,,,,,,
2001-06-07,,4.7,9.7,3.6,5.5,4.0275,,4.7
2001-06-08,906,,,,,,,
2001-06-09,910,,,,,,,
2001-06-10,908,,,,,,,
2001-06-11,909,,,,,,,
2001-06-12,914,,,,,,9.08,
2001-06-13,907,,,,,,,
2001-06-14,901,,,,,,5.31,
2001-06-15,905,,,,,,,
2001-06-16,908,,,,,,,
2001-06-17,905,,,,,,,
2001-06-18,907,,,,,,7.77,
2001-06-19,908,,,,,,,
2001-06-20,890,,,,,,,
2001-06-21,894,,,,,,,
2001-06-22,901,,,,,,,
2001-06-23,902,,,,,,,
2001-06-24,905,,,,,,,
2001-06-25,905,,,,,,,
2001-06-26,903,,,,,,,
2001-06-27,842,,,,,,,
2001-06-28,833,,,,,,,
2001-06-29,843,,,,,,,
2001-06-30,846,,,,,,,
2001-07-01,845,,,,,,,
2001-07-02,852,,,,,,,
2001-07-03,843,,,,,,,
2001-07-04,847,,,,,,,
2001-07-05,852,,,,,,,
2001-07-06,850,,,,,,,
2001-07-07,844,,,,,,,
2001-07-08,840,,,,,,,
2001-07-09,842,,,,,,,
2001-07-10,843,,,,,,,
2001-07-11,846,,,,,,9.225,
2001-07-12,833,,,,,,,
2001-07-13,833,,,,,,4.23,
2001-07-14,835,,,,,,,
2001-07-15,832,,,,,,,
2001-07-16,932,,,,,,11.466,
2001-07-17,834,,,,,,,
2001-07-18,839,,,,,,,
2001-07-19,844,,,,,,,
2001-07-20,834,,,,,,,
2001-07-21,806,,,,,,,
2001-07-22,804,,,,,,,
2001-07-23,813,,,,,,,
2001-07-24,833,,,,,,,
2001-07-25,824,,,,,,,
2001-07-26,824,,,,,,,
2001-07-27,829,,,,,,,
2001-07-28,827,,,,,,,
2001-07-29,828,,,,,,,
2001-07-30,831,,,,,,,
2001-07-31,843,,,,,,,
2001-08-01,837,,,,,,,
2001-08-02,837,,,,,,,
2001-08-03,843,,,,,,,
2001-08-04,833,,,,,,,
2001-08-05,831,,,,,,,
2001-08-06,829,,,,,,,
2001-08-07,828,,,,,,,
2001-08-08,832,,,,,,,
2001-08-09,746,,,,,,,
2001-08-10,672,,,,,,,
2001-08-11,560,,,,,,,
2001-08-12,481,,,,,,,
2001-08-13,547,,,,,,6.84,
2001-08-13,,7.1,15.8,3.5,8,4.2975,,4.7
2001-08-14,714,,,,,,12.42,
2001-08-15,689,,,,,,8.685,
2001-08-16,693,,,,,,8.73,
2001-08-17,433,,,,,,,
2001-08-18,273,,,,,,,
2001-08-19,194,,,,,,,
2001-08-20,296,,,,,,,
2001-08-21,297,,,,,,,
2001-08-22,297,,,,,,,
2001-08-23,298,,,,,,,
2001-08-24,295,,,,,,,
2001-08-25,254,,,,,,,
2001-08-26,301,,,,,,,
2001-08-27,434,,,,,,,
2001-08-28,411,,,,,,,
2001-08-29,174,,,,,,,
2001-08-30,201,,,,,,,
2001-08-31,225,,,,,,,
2001-09-01,300,,,,,,,
2001-09-02,300,,,,,,,
2001-09-03,220,,,,,,,
2001-09-04,173,,,,,,,
2001-09-05,197,,,,,,,
2001-09-06,261,,,,,,,
2001-09-07,272,,,,,,,
2001-09-08,277,,,,,,,
2001-09-09,260,,,,,,,
2001-09-10,412,,,,,,,
2001-09-11,498,,,,,,,
2001-09-12,565,,,,,,,
2001-09-13,531,,,,,,,
2001-09-14,201,,,,,,,
2001-09-15,169,,,,,,,
2001-09-16,160,,,,,,,
2001-09-17,360,,,,,,20.76,
2001-09-18,295,,,,,,10.5525,
2001-09-19,494,,,,,,,
2001-09-20,267,,,,,,,
2001-09-21,479,,,,,,,
2001-09-22,464,,,,,,,
2001-09-23,421,,,,,,,
2001-09-24,596,,,,,,,
2001-09-25,599,,,,,,,
2001-09-26,612,,,,,,,
2001-09-27,605,,,,,,,
2001-09-28,617,,,,,,,
2001-09-29,385,,,,,,,
2001-09-30,268,,,,,,,
2001-10-01,436,,,,,,,
2001-10-02,359,,,,,,,
2001-10-03,177,,,,,,,
2001-10-04,174,,,,,,,
2001-10-05,514,,,,,,,
2001-10-06,572,,,,,,,
2001-10-07,389,,,,,,,
2001-10-08,487,,,,,,,
2001-10-09,454,,,,,,,
2001-10-10,407,,,,,,,
2001-10-11,479,,,,,,,
2001-10-12,479,,,,,,,
2001-10-13,579,,,,,,,
2001-10-14,576,,,,,,,
2001-10-15,569,,,,,,11.691,
2001-10-16,566,,,,,,,
2001-10-17,535,,,,,,13.11,
2001-10-18,577,,,,,,,
2001-10-19,597,,,,,,,
2001-10-20,798,,,,,,,
2001-10-21,592,,,,,,,
2001-10-22,851,,,,,,,
2001-10-23,850,,,,,,,
2001-10-23,,11,11.7,1.1,6.25,3.51,,4.3
2001-10-24,778,,,,,,,
2001-10-25,795,,,,,,,
2001-10-26,842,,,,,,,
2001-10-27,853,,,,,,,
2001-10-28,654,,,,,,,
2001-10-29,849,,,,,,,
2001-10-30,816,,,,,,,
2001-10-31,630,,,,,,,
2001-11-01,756,,,,,,,
2001-11-02,865,,,,,,,
2001-11-03,862,,,,,,,
2001-11-04,865,,,,,,,
2001-11-05,843,,,,,,,
2001-11-06,874,,,,,,,
2001-11-07,859,,,,,,,
2001-11-08,859,,,,,,,
2001-11-09,831,,,,,,,
2001-11-10,826,,,,,,,
2001-11-11,832,,,,,,,
2001-11-12,826,,,,,,,
2001-11-13,847,,,,,,,
2001-11-14,841,,,,,,13.257,
2001-11-15,832,,,,,,4.86,
2001-11-16,827,,,,,,,
2001-11-17,821,,,,,,,
2001-11-18,818,,,,,,,
2001-11-19,819,,,,,,8.55,
2001-11-20,821,,,,,,,
2001-11-21,821,,,,,,,
2001-11-22,741,,,,,,,
2001-11-23,824,,,,,,,
2001-11-24,825,,,,,,,
2001-11-25,821,,,,,,,
2001-11-26,828,,,,,,,
2001-11-27,827,,,,,,,
2001-11-28,825,,,,,,,
2001-11-29,827,,,,,,,
2001-11-30,830,,,,,,,
2001-12-01,831,,,,,,,
2001-12-02,824,,,,,,,
2001-12-03,826,,,,,,,
2001-12-04,830,,,,,,,
2001-12-05,732,,,,,,,
2001-12-06,831,,,,,,,
2001-12-07,830,,,,,,,
2001-12-08,837,,,,,,,
2001-12-09,832,,,,,,,
2001-12-10,832,,,,,,9.225,
2001-12-11,832,,,,,,,
2001-12-12,834,,,,,,,
2001-12-13,829,,,,,,,
2001-12-14,825,,,,,,,
2001-12-15,832,,,,,,,
2001-12-16,836,,,,,,,
2001-12-17,830,,,,,,11.0475,
2001-12-18,835,,,,,,9.99,
2001-12-19,804,,,,,,,
2001-12-20,828,,,,,,,
2001-12-21,841,,,,,,,
2001-12-22,753,,,,,,,
2001-12-23,745,,,,,,,
2001-12-24,555,,,,,,,
2001-12-25,442,,,,,,,
2001-12-26,354,,,,,,,
2001-12-27,373,,,,,,,
2001-12-28,698,,,,,,,
2001-12-29,717,,,,,,,
2001-12-30,439,,,,,,,
2001-12-31,401,,,,,,,
2002-01-01,381,,,,,,,
2002-01-02,372,,,,,,,
2002-01-03,367,,,,,,,
2002-01-04,366,,,,,,,
2002-01-05,361,,,,,,,
2002-01-06,374,,,,,,,
2002-01-07,372,,,,,,,
2002-01-08,368,,,,,,,
2002-01-09,327,,,,,,,
2002-01-10,298,,,,,,,
2002-01-11,370,,,,,,,
2002-01-12,172,,,,,,,
2002-01-13,156,,,,,,,
2002-01-14,236,,,,,,7.38,
2002-01-15,325,,,,,,9.9675,
2002-01-16,326,,,,,,10.05,
2002-01-17,321,,,,,,,
2002-01-18,313,,,,,,,
2002-01-19,303,,,,,,,
2002-01-20,308,,,,,,,
2002-01-21,295,,,,,,,
2002-01-22,302,,,,,,,
2002-01-23,263,,,,,,,
2002-01-24,487,,,,,,,
2002-01-25,597,,,,,,,
2002-01-26,707,,,,,,,
2002-01-27,711,,,,,,,
2002-01-28,758,,,,,,,
2002-01-29,669,,,,,,,
2002-01-30,704,,,,,,,
2002-01-31,688,,,,,,,
2002-02-01,681,,,,,,,
2002-02-02,646,,,,,,,
2002-02-03,659,,,,,,,
2002-02-04,472,,,,,,,
2002-02-05,626,,,,,,,
2002-02-06,694,,,,,,,
2002-02-07,628,,,,,,,
2002-02-08,711,,,,,,,
2002-02-09,696,,,,,,,
2002-02-10,702,,,,,,,
2002-02-11,721,,,,,,9.495,
2002-02-12,735,,,,,,12.15,
2002-02-13,744,,,,,,8.57571428571429,
2002-02-14,771,,,,,,4.95,
2002-02-15,764,,,,,,,
2002-02-16,760,,,,,,,
2002-02-17,765,,,,,,,
2002-02-18,764,,,,,,8.73,
2002-02-19,755,,,,,,,
2002-02-20,761,,,,,,,
2002-02-21,756,,,,,,,
2002-02-22,629,,,,,,,
2002-02-23,590,,,,,,,
2002-02-24,602,,,,,,,
2002-02-25,760,,,,,,,
2002-02-26,777,,,,,,,
2002-02-27,765,,,,,,,
2002-02-28,747,,,,,,,
2002-03-01,749,,,,,,,
2002-03-02,760,,,,,,,
2002-03-03,761,,,,,,,
2002-03-04,758,,,,,,,
2002-03-05,735,,,,,,,
2002-03-06,672,,,,,,,
2002-03-07,696,,,,,,,
2002-03-08,735,,,,,,,
2002-03-09,721,,,,,,,
2002-03-10,739,,,,,,,
2002-03-11,692,,,,,,,
2002-03-12,712,,,,,,,
2002-03-13,815,,,,,,10.2190909090909,
2002-03-14,796,,,,,,4.95,
2002-03-15,807,,,,,,,
2002-03-16,804,,,,,,,
2002-03-17,801,,,,,,,
2002-03-18,810,,,,,,8.46,
2002-03-19,808,,,,,,,
2002-03-20,827,,,,,,,
2002-03-21,823,,,,,,,
2002-03-22,812,,,,,,,
2002-03-23,811,,,,,,,
2002-03-24,814,,,,,,,
2002-03-25,784,,,,,,,
2002-03-26,776,,,,,,,
2002-03-27,780,,,,,,,
2002-03-28,786,,,,,,,
2002-03-29,783,,,,,,,
