SortChem_#,Site,Date,Depth (m),Corrected_Chl_ug/l,Total_Chl_ug/l,Pheo_ug/l,NH4OPA_uM,NH4 Indol_uM,PO4_uM,NO3_uM,TDN_uM,TN_uM,TP_uM,TDP_uM,PP-ug/l,PP_uM,PN-ug/l,PN_uM,PC-ug/l,PC_uM,DOC_uM,DIC_uM,Alk_meqL,SO4_uM,Cl_uM,Ca_uM,Mg_uM,Na_uM,K_uM,Si_uM,Notes
2010-2007,I3,22-Jun-2010,3,2.23,2.58,0.67,0.087,.,0.059,0.012,12.400,16.011,.,0.070,.,.,50.6,3.61,395.51,32.93,428,307,0.220,.,.,.,.,.,.,.,
2010-2008,I4,22-Jun-2010,1,1.44,1.66,0.43,0.179,.,0.035,0.000,14.200,19.929,.,0.010,.,.,80.2,5.73,638.26,53.14,469,254,0.208,.,.,.,.,.,.,.,
2010-2009,I4,22-Jun-2010,4,4.44,5.15,1.39,0.059,.,0.051,0.068,12.400,18.957,.,0.050,.,.,91.8,6.56,786.53,65.49,451,475,0.226,.,.,.,.,.,.,.,
2010-2010,I4,22-Jun-2010,6,3.76,4.46,1.37,0.075,.,0.060,0.138,13.200,20.347,.,0.070,.,.,100.1,7.15,905.82,75.42,441,604,0.228,.,.,.,.,.,.,.,
2010-2011,I5,22-Jun-2010,1,1.21,1.34,0.24,0.065,.,0.091,0.005,12.700,15.859,.,0.040,.,.,44.3,3.16,373.53,31.10,477,267,0.197,.,.,.,.,.,.,.,
2010-2012,I5,22-Jun-2010,4,1.97,2.19,0.42,0.033,.,0.021,0.101,12.300,16.122,.,0.050,.,.,53.5,3.82,454.73,37.86,473,346,0.200,.,.,.,.,.,.,.,
2010-2013,I5,22-Jun-2010,8,0.04,2.72,5.22,0.048,.,0.022,0.414,14.100,18.608,.,0.040,.,.,63.1,4.51,503.80,41.95,632,486,0.205,.,.,.,.,.,.,.,
2010-2014,I6 Headwaters Lake,22-Jun-2010,1,0.43,0.48,0.09,0.106,.,0.034,0.262,11.900,14.101,.,0.040,.,.,30.8,2.20,247.28,20.59,375,942,0.884,.,.,.,.,.,.,.,
2010-2015,I6 Headwaters Lake,22-Jun-2010,4,1.13,1.22,0.19,0.063,.,0.039,0.389,10.900,13.373,.,0.020,.,.,34.6,2.47,305.11,25.40,368,1082,0.899,.,.,.,.,.,.,.,
2010-2016,I6 Headwaters Lake,22-Jun-2010,6,3.68,4.12,0.86,0.075,.,0.028,0.078,11.500,16.450,.,0.030,.,.,69.3,4.95,559.30,46.57,370,1227,0.931,.,.,.,.,.,.,.,
2010-2026,I Swamp,23-Jun-2010,1,0.57,0.66,0.17,0.100,.,0.040,0.552,13.000,15.127,.,0.070,.,.,29.8,2.13,242.45,20.19,426,453,0.381,.,.,.,.,.,.,.,
2010-2027,I Swamp,23-Jun-2010,3,0.71,0.80,0.17,0.080,.,0.050,0.287,12.400,14.674,.,0.050,.,.,31.9,2.27,259.89,21.64,422,464,0.377,.,.,.,.,.,.,.,
2010-2017,I6,23-Jun-2010,1,0.69,0.81,0.22,0.110,.,0.040,0.000,13.800,16.480,.,0.060,.,.,37.5,2.68,318.09,26.48,444,410,0.356,.,.,.,.,.,.,.,
2010-2018,I6,23-Jun-2010,4,1.01,1.22,0.41,0.110,.,0.075,0.000,13.100,16.407,.,0.040,.,.,46.3,3.31,353.33,29.42,441,478,0.358,.,.,.,.,.,.,.,
2010-2019,I6,23-Jun-2010,12,0.91,1.12,0.42,0.534,.,0.150,0.606,12.700,15.638,.,0.030,.,.,41.2,2.94,370.60,30.86,433,677,0.410,.,.,.,.,.,.,.,
2010-2020,I7,23-Jun-2010,1,2.67,2.87,0.37,0.063,.,0.064,0.000,13.100,15.780,.,0.030,.,.,37.5,2.68,327.59,27.27,424,398,0.354,.,.,.,.,.,.,.,
2010-2021,I7,23-Jun-2010,3,0.97,1.08,0.22,0.062,.,0.055,0.154,11.300,14.201,.,0.020,.,.,40.6,2.90,317.40,26.43,429,425,0.347,.,.,.,.,.,.,.,
2010-2022,I7,23-Jun-2010,10,0.91,1.40,0.96,0.952,.,0.085,0.486,12.200,16.511,.,0.050,.,.,60.4,4.31,485.61,40.43,408,798,0.485,.,.,.,.,.,.,.,
2010-2023,I8,23-Jun-2010,1,0.50,0.56,0.11,0.142,.,0.057,0.000,12.500,16.360,.,0.060,.,.,54.1,3.86,430.88,35.87,420,630,0.596,.,.,.,.,.,.,.,
2010-2024,I8,23-Jun-2010,4,8.34,8.80,0.91,0.078,.,0.059,0.106,11.600,18.245,.,0.100,.,.,93.1,6.65,657.84,54.77,392,673,0.573,.,.,.,.,.,.,.,
2010-2025,I8,23-Jun-2010,7,4.78,5.34,1.09,0.128,.,0.074,0.053,11.100,16.689,.,0.080,.,.,78.3,5.59,579.34,48.23,389,788,0.564,.,.,.,.,.,.,.,
2010-0515,NE14,24-Jun-2010,1,.,.,.,0.110,.,0.010,0.760,6.800,.,.,0.140,.,0.30,22.1,.,303.50,.,197,1642,1.792,.,.,872.10,220.30,26.60,17.11,19.6,
2010-0516,NE14,24-Jun-2010,4.5,.,.,.,0.090,.,0.240,0.010,6.600,.,.,0.060,.,0.18,18.3,.,235.60,.,193,1757,1.809,.,.,876.40,220.20,26.70,17.07,19.9,
2010-0517,NE14,24-Jun-2010,12,.,.,.,0.080,.,0.070,0.510,6.500,.,.,0.070,.,0.18,28.3,.,342.10,.,194,.,1.991,.,.,964.80,244.10,29.70,18.56,23.3,
2010-0240,Toolik Main,25-Jun-2010,0,1.15,1.23,0.16,0.407,.,0.029,0.133,10.700,13.749,.,0.050,.,.,42.7,3.05,336.23,27.99,377,675,0.632,.,.,.,.,.,.,.,
2010-0241,Toolik Main,25-Jun-2010,1,1.16,1.24,0.16,0.478,.,0.005,0.030,11.300,14.496,.,0.026,.,.,44.8,3.20,344.69,28.70,377,685,0.640,.,.,.,.,.,.,.,
2010-0242,Toolik Main,25-Jun-2010,3,1.34,1.43,0.17,0.295,.,0.000,0.121,11.100,14.223,.,0.050,.,.,43.7,3.12,356.95,29.72,379,680,0.632,.,.,.,.,.,.,.,
2010-0243,Toolik Main,25-Jun-2010,5,1.81,2.01,0.39,0.075,.,0.011,0.000,10.100,13.665,.,0.026,.,.,49.9,3.57,380.27,31.66,373,716,0.637,.,.,.,.,.,.,.,
2010-0244,Toolik Main,25-Jun-2010,8,3.88,4.26,0.74,0.121,.,0.009,0.497,10.800,14.586,.,0.001,.,.,53.0,3.79,379.23,31.57,372,801,0.640,.,.,.,.,.,.,.,
2010-0245,Toolik Main,25-Jun-2010,12,0.88,1.07,0.37,0.257,.,0.016,1.756,11.900,14.875,.,0.050,.,.,41.7,2.98,309.63,25.78,381,893,0.674,.,.,.,.,.,.,.,
2010-0246,Toolik Main,25-Jun-2010,16,0.66,0.83,0.33,0.353,.,0.007,2.022,12.800,14.927,.,0.026,.,.,29.8,2.13,239.16,19.91,384,925,0.688,.,.,.,.,.,.,.,
2010-0247,Toolik Main,25-Jun-2010,20,0.58,0.76,0.34,0.388,.,0.027,2.098,13.200,15.769,.,0.026,.,.,36.0,2.57,294.78,24.54,385,946,0.691,.,.,.,.,.,.,.,
2010-0241.1,Toolik Main - Dup,25-Jun-2010,1,1.13,1.22,0.16,0.445,.,0.011,0.116,.,.,.,0.050,.,.,47.4,3.38,356.61,29.69,.,.,.,.,.,.,.,.,.,.,
2010-0100,E5,28-Jun-2010,0,2.03,2.30,0.51,0.658,.,0.035,0.189,13.100,18.034,.,0.080,.,.,69.1,4.93,620.59,51.67,449,130,0.100,.,.,.,.,.,.,.,
2010-0101,E5,28-Jun-2010,1,2.58,2.82,0.47,0.090,.,0.039,0.077,10.900,16.637,.,0.110,.,.,80.4,5.74,668.56,55.66,442,134,0.103,.,.,.,.,.,.,.,
2010-0102,E5,28-Jun-2010,3,3.98,4.37,0.77,0.100,.,0.044,0.017,11.800,18.268,.,0.100,.,.,90.6,6.47,764.85,63.68,446,137,0.088,.,.,.,.,.,.,.,Converted alkalinity value from ueqL to meqL
2010-0103,E5,28-Jun-2010,5,8.41,9.28,1.70,0.093,.,0.054,0.000,12.400,19.233,.,0.130,.,.,95.7,6.83,794.33,66.13,446,288,0.098,.,.,.,.,.,.,.,Converted alkalinity value from ueqL to meqL
2010-0104,E5,28-Jun-2010,8,2.51,2.90,0.76,0.546,.,0.071,0.698,17.100,21.815,.,0.160,.,.,66.0,4.71,581.52,48.42,446,419,0.107,.,.,.,.,.,.,.,
2010-0105,E5,28-Jun-2010,10,1.54,2.06,1.01,1.286,.,0.075,1.022,15.500,20.434,.,0.100,.,.,69.1,4.93,658.28,54.81,438,452,0.113,.,.,.,.,.,.,.,
2010-0106,E6,28-Jun-2010,0,1.44,1.66,0.42,0.449,.,0.037,0.222,13.800,19.391,.,0.120,.,.,78.3,5.59,644.92,53.69,479,127,0.095,.,.,.,.,.,.,.,Converted alkalinity value from ueqL to meqL
2010-0107,E6,28-Jun-2010,1,1.71,1.74,0.00,0.461,.,0.024,0.228,14.100,19.764,.,0.130,.,.,79.3,5.66,744.29,61.97,476,132,0.096,.,.,.,.,.,.,.,Converted alkalinity value from ueqL to meqL
2010-0108,E6,28-Jun-2010,2,1.38,1.57,0.37,0.295,.,0.008,0.238,13.100,18.180,.,0.110,.,.,71.2,5.08,593.17,49.39,478,133,0.095,.,.,.,.,.,.,.,Converted alkalinity value from ueqL to meqL
2010-2084,Fog 2,30-Jun-2010,0,0.30,0.32,0.04,0.161,.,0.016,0.324,10.100,11.936,.,0.020,.,.,25.7,1.84,211.85,17.64,273,1415,1.391,.,.,.,.,.,.,.,
2010-2085,Fog 2,30-Jun-2010,1,0.32,0.34,0.05,0.098,.,0.013,0.000,9.100,10.903,.,0.100,.,.,25.3,1.80,212.15,17.66,272,1418,1.393,.,.,.,.,.,.,.,
2010-2086,Fog 2,30-Jun-2010,3,0.34,0.37,0.05,0.097,.,0.015,0.000,8.400,10.236,.,0.020,.,.,25.7,1.84,215.66,17.96,272,1417,1.392,.,.,.,.,.,.,.,
2010-2087,Fog 2,30-Jun-2010,5,0.43,0.43,0.00,0.273,.,0.015,0.000,9.800,11.928,.,0.150,.,.,29.8,2.13,237.89,19.81,273,1446,1.395,.,.,.,.,.,.,.,
2010-2088,Fog 2,30-Jun-2010,8,0.62,0.74,0.23,0.359,.,0.034,0.000,10.200,12.718,.,0.030,.,.,35.3,2.52,309.32,25.75,280,1582,1.491,.,.,.,.,.,.,.,
2010-2089,Fog 2,30-Jun-2010,12,2.17,2.40,0.45,1.272,.,0.036,0.397,12.100,16.948,.,0.010,.,.,67.9,4.85,496.88,41.37,281,2055,1.730,.,.,.,.,.,.,.,
2010-2090,Fog 2,30-Jun-2010,16,7.55,8.61,2.05,5.305,.,0.045,0.724,17.000,20.533,.,0.025,.,.,49.5,3.53,343.82,28.63,284,2223,1.793,.,.,.,.,.,.,.,
2010-2091,Fog 4,30-Jun-2010,0,1.78,1.95,0.35,0.967,.,0.036,0.046,17.600,21.611,.,0.140,.,.,56.2,4.01,434.21,36.15,502,971,0.937,.,.,.,.,.,.,.,
2010-2092,Fog 4,30-Jun-2010,1,1.82,2.03,0.40,0.926,.,0.072,0.058,17.800,22.201,.,0.100,.,.,61.6,4.40,450.20,37.48,511,969,0.934,.,.,.,.,.,.,.,
2010-2093,Fog 4,30-Jun-2010,2,1.77,1.99,0.41,0.720,.,0.033,0.016,17.100,21.793,.,0.170,.,.,65.7,4.69,470.00,39.13,507,1154,0.933,.,.,.,.,.,.,.,
2010-0525,NE14,02-Jul-2010,1,.,.,.,0.180,.,0.120,0.090,7.100,.,.,0.140,.,0.11,13,.,187.70,.,199,1507,1.799,.,.,866.10,221.30,26.80,17.19,18.9,
2010-0527,NE14,02-Jul-2010,5,.,.,.,0.270,.,0.100,0.020,7.500,.,.,0.140,.,0.08,9.6,.,164.70,.,202,1622,1.834,.,.,882.60,223.60,26.90,17.35,19.5,
2010-0526,NE14,02-Jul-2010,12,.,.,.,0.090,.,0.050,0.020,8.300,.,.,0.030,.,0.19,24.1,.,281.50,.,209,1449,1.992,.,.,957.20,244.20,29.70,18.76,22.7,
2010-0256,Toolik Main,02-Jul-2010,0,0.78,0.90,0.23,0.612,.,0.046,0.242,11.200,14.288,.,0.038,.,.,43.3,3.09,322.12,26.82,371,670,0.644,.,.,.,.,.,.,.,
2010-0257,Toolik Main,02-Jul-2010,1,0.69,0.75,0.13,0.529,.,0.018,0.105,10.600,14.087,.,0.026,.,.,48.8,3.49,367.94,30.63,371,666,0.642,.,.,.,.,.,.,.,
2010-0258,Toolik Main,02-Jul-2010,3,0.82,0.92,0.19,0.158,.,0.037,0.266,9.900,13.012,.,0.026,.,.,43.6,3.11,358.73,29.87,370,673,0.643,.,.,.,.,.,.,.,
2010-0259,Toolik Main,02-Jul-2010,5,1.30,1.43,0.25,0.159,.,0.120,0.242,9.300,12.954,.,0.026,.,.,51.2,3.65,385.17,32.07,369,701,0.643,.,.,.,.,.,.,.,
2010-0260,Toolik Main,02-Jul-2010,8,5.80,6.39,1.16,0.199,.,0.053,0.169,10.000,14.406,.,0.074,.,.,61.7,4.41,470.35,39.16,374,777,0.640,.,.,.,.,.,.,.,
2010-0261,Toolik Main,02-Jul-2010,12,2.29,2.56,0.51,2.121,.,0.072,0.910,10.900,14.304,.,0.026,.,.,47.7,3.40,369.70,30.78,378,.,.,.,.,.,.,.,.,.,
2010-0262,Toolik Main,02-Jul-2010,16,0.62,0.78,0.31,0.475,.,0.042,0.114,12.500,15.027,.,0.026,.,.,35.4,2.53,294.50,24.52,379,882,0.679,.,.,.,.,.,.,.,
2010-0263,Toolik Main,02-Jul-2010,20,0.52,0.69,0.32,0.731,.,0.046,2.184,13.200,15.894,.,0.013,.,.,37.7,2.69,315.65,26.28,381,912,0.690,.,.,.,.,.,.,.,
2010-0257.1,Toolik Main - Dup,02-Jul-2010,1,0.94,1.02,0.17,0.248,.,0.092,0.215,.,.,.,0.026,.,.,52.9,3.78,371.26,30.91,.,.,.,.,.,.,.,.,.,.,
2010-2104,N1,05-Jul-2010,0,0.83,1.00,0.33,0.129,.,0.053,0.221,12.200,15.367,.,0.070,.,.,44.4,3.17,328.06,27.31,390,1102,1.092,.,.,.,.,.,.,.,
2010-2105,N1,05-Jul-2010,1,0.68,0.82,0.26,0.064,.,0.049,0.120,11.700,15.744,.,0.070,.,.,56.6,4.04,376.95,31.38,375,1105,1.095,.,.,.,.,.,.,.,
2010-2106,N1,05-Jul-2010,3,0.90,1.02,0.24,0.099,.,0.030,0.151,11.700,15.190,.,0.080,.,.,48.9,3.49,358.27,29.83,374,1113,1.099,.,.,.,.,.,.,.,
2010-2107,N1,05-Jul-2010,5,2.12,2.39,0.54,0.083,.,0.045,0.481,12.600,17.332,.,0.080,.,.,66.3,4.73,466.04,38.80,394,1411,1.297,.,.,.,.,.,.,.,
2010-2108,N1,05-Jul-2010,8,6.76,7.63,1.69,0.030,.,0.042,0.187,14.800,21.577,.,0.080,.,.,94.9,6.78,639.10,53.21,427,1750,1.549,.,.,.,.,.,.,.,
2010-2109,N1,05-Jul-2010,11,5.15,6.08,1.82,0.129,.,0.050,0.433,15.000,20.718,.,0.090,.,.,80.1,5.72,568.33,47.32,422,2004,1.577,.,.,.,.,.,.,.,
2010-2110,N2 Fert,05-Jul-2010,0,0.37,0.50,0.25,0.094,.,0.039,0.071,11.400,13.690,.,0.060,.,.,32.1,2.29,249.77,20.80,383,1528,1.516,.,.,.,.,.,.,.,
2010-2111,N2 Fert,05-Jul-2010,1,0.22,0.53,0.61,0.131,.,0.036,0.066,11.600,14.020,.,0.040,.,.,33.9,2.42,250.84,20.88,372,1541,1.527,.,.,.,.,.,.,.,
2010-2112,N2 Fert,05-Jul-2010,3,0.57,0.71,0.26,0.071,.,0.050,0.230,10.400,12.593,.,0.020,.,.,30.7,2.19,244.90,20.39,372,1577,1.520,.,.,.,.,.,.,.,
2010-2113,N2 Fert,05-Jul-2010,5,1.21,1.47,0.51,0.362,.,0.037,0.241,13.000,16.102,.,0.020,.,.,43.4,3.10,344.50,28.68,420,2006,1.843,.,.,.,.,.,.,.,
2010-2114,N2 Fert,05-Jul-2010,8,4.03,4.98,1.86,2.102,.,0.054,0.067,17.100,24.169,.,0.070,.,.,99.0,7.07,646.46,53.82,450,2851,2.375,.,.,.,.,.,.,.,
2010-2115,N2 Ref,05-Jul-2010,0,0.38,0.44,0.13,0.142,.,0.045,0.189,10.200,12.166,.,0.020,.,.,27.5,1.97,213.52,17.78,372,1528,1.514,.,.,.,.,.,.,.,
2010-2116,N2 Ref,05-Jul-2010,1,0.40,0.52,0.24,0.104,.,0.040,0.229,11.200,13.653,.,0.030,.,.,34.4,2.45,248.40,20.68,380,1523,1.509,.,.,.,.,.,.,.,
2010-2117,N2 Ref,05-Jul-2010,3,0.61,0.92,0.60,0.157,.,0.031,0.075,12.900,15.872,.,0.060,.,.,41.6,2.97,327.75,27.29,396,1730,1.653,.,.,.,.,.,.,.,
2010-2118,N2 Ref,05-Jul-2010,5,0.92,1.13,0.41,0.082,.,0.031,0.067,13.100,16.397,.,0.070,.,.,46.2,3.30,381.21,31.74,431,2103,1.984,.,.,.,.,.,.,.,
2010-2119,N2 Ref,05-Jul-2010,6,2.29,2.76,0.91,0.152,.,0.036,0.054,13.600,17.968,.,0.070,.,.,61.2,4.37,464.82,38.70,462,2581,2.242,.,.,.,.,.,.,.,
2010-0109,E5,07-Jul-2010,0,5.29,6.14,1.67,0.985,.,0.027,0.106,14.200,21.691,.,0.090,.,.,104.9,7.49,784.04,65.28,433,112,0.093,.,.,.,.,.,.,.,Converted alkalinity value from ueqL to meqL
2010-0110,E5,07-Jul-2010,1,4.99,5.80,1.58,0.665,.,0.022,0.508,10.900,19.048,.,0.080,.,.,114.1,8.15,811.12,67.53,428,116,0.089,.,.,.,.,.,.,.,Converted alkalinity value from ueqL to meqL
2010-0111,E5,07-Jul-2010,3,4.85,5.70,1.67,1.093,.,0.034,0.258,12.700,19.533,.,0.150,.,.,95.7,6.83,738.13,61.46,430,126,0.093,.,.,.,.,.,.,.,Converted alkalinity value from ueqL to meqL
2010-0112,E5,07-Jul-2010,5,4.11,5.07,1.89,0.367,.,0.029,0.167,10.800,18.145,.,0.100,.,.,102.9,7.34,774.45,64.48,436,348,0.105,.,.,.,.,.,.,.,
2010-0113,E5,07-Jul-2010,8,1.31,1.87,1.08,0.290,.,0.061,0.562,13.700,17.465,.,0.130,.,.,52.7,3.77,454.38,37.83,442,453,0.110,.,.,.,.,.,.,.,
2010-0114,E5,07-Jul-2010,10,0.91,1.57,1.28,1.146,.,0.094,1.108,14.400,18.238,.,0.140,.,.,53.8,3.84,496.53,41.34,432,467,0.113,.,.,.,.,.,.,.,
2010-0115,E6,07-Jul-2010,0,2.52,2.98,0.90,0.415,.,0.039,0.394,16.200,24.668,.,0.160,.,.,118.6,8.47,1105.88,92.07,477,127,0.097,.,.,.,.,.,.,.,Converted alkalinity value from ueqL to meqL
2010-0116,E6,07-Jul-2010,1,3.11,3.64,1.03,0.307,.,0.036,0.128,16.000,23.380,.,0.100,.,.,103.4,7.38,980.53,81.64,473,138,0.101,.,.,.,.,.,.,.,
2010-0117,E6,07-Jul-2010,2,2.58,3.09,1.00,0.340,.,0.034,0.181,14.200,21.072,.,0.120,.,.,96.3,6.87,892.27,74.29,475,140,0.101,.,.,.,.,.,.,.,
2010-0535,NE14,08-Jul-2010,1,.,.,.,0.240,.,0.260,0.030,7.800,.,.,0.160,.,0.08,21.8,.,262.10,.,197,1057,1.801,.,.,818.00,205.70,25.30,16.33,17.1,
2010-0536,NE14,08-Jul-2010,6,.,.,.,0.130,.,0.140,0.030,8.000,.,.,0.120,.,0.15,22,.,226.40,.,201,1273,1.820,.,.,866.80,216.90,26.80,17.24,18.4,
2010-0537,NE14,08-Jul-2010,12,.,.,.,0.370,.,0.050,0.050,8.400,.,.,0.070,.,0.22,34.5,.,372.00,.,206,1587,1.981,.,.,899.10,226.40,28.40,17.74,20.2,
2010-0272,Toolik Main,09-Jul-2010,0,0.94,1.04,0.21,0.496,.,0.059,0.180,10.400,13.042,.,0.074,.,.,37.0,2.64,281.26,23.42,368,672,0.647,.,.,.,.,.,.,.,
2010-0273,Toolik Main,09-Jul-2010,1,0.79,0.90,0.23,0.860,.,0.035,0.043,10.400,14.907,.,0.026,.,.,63.1,4.51,424.12,35.31,368,669,0.643,.,.,.,.,.,.,.,
2010-0273.1,Toolik Main,09-Jul-2010,1,0.89,1.02,0.24,0.246,.,0.029,0.084,.,.,.,0.050,.,.,38.2,2.73,287.73,23.96,.,.,.,.,.,.,.,.,.,.,
2010-0274,Toolik Main,09-Jul-2010,3,0.96,1.02,0.11,0.220,.,0.032,0.129,10.100,13.903,.,0.013,.,.,53.3,3.80,366.23,30.49,368,674,0.648,.,.,.,.,.,.,.,
2010-0275,Toolik Main,09-Jul-2010,5,1.12,1.31,0.36,0.105,.,0.047,0.195,10.500,13.888,.,0.013,.,.,47.5,3.39,340.13,28.32,373,680,0.649,.,.,.,.,.,.,.,
2010-0276,Toolik Main,09-Jul-2010,8,4.40,4.89,0.95,0.359,.,0.050,0.082,10.000,14.383,.,0.026,.,.,61.4,4.38,446.68,37.19,375,772,0.645,.,.,.,.,.,.,.,
2010-0277,Toolik Main,09-Jul-2010,12,1.57,1.97,0.78,0.540,.,0.038,1.250,12.100,15.074,.,0.038,.,.,41.7,2.97,316.38,26.34,381,854,0.673,.,.,.,.,.,.,.,
2010-0278,Toolik Main,09-Jul-2010,16,0.63,0.85,0.44,0.584,.,0.043,1.948,12.200,14.801,.,0.013,.,.,36.4,2.60,290.48,24.18,379,880,0.685,.,.,.,.,.,.,.,
2010-0279,Toolik Main,09-Jul-2010,19,0.56,0.77,0.41,0.688,.,0.045,1.921,12.700,15.094,.,0.013,.,.,33.5,2.39,267.13,22.24,378,888,0.684,.,.,.,.,.,.,.,
2010-2028,I1,13-Jul-2010,1,0.62,0.85,0.46,0.130,.,0.053,0.083,11.400,15.054,.,0.060,.,.,51.2,3.65,356.51,29.68,347,274,0.249,.,.,.,.,.,.,.,
2010-2029,I1,13-Jul-2010,5,0.91,1.05,0.27,0.088,.,0.009,0.000,10.900,14.046,.,0.060,.,.,44.1,3.15,334.70,27.87,365,319,0.256,.,.,.,.,.,.,.,
2010-2030,I1,13-Jul-2010,9,0.67,0.75,0.16,0.965,.,0.007,0.153,11.800,14.257,.,0.060,.,.,34.4,2.46,271.34,22.59,364,482,0.252,.,.,.,.,.,.,.,
2010-2031,I2,13-Jul-2010,1,0.62,0.71,0.18,0.275,.,0.012,0.000,15.100,17.122,.,0.020,.,.,28.3,2.02,238.20,19.83,509,243,0.213,.,.,.,.,.,.,.,
2010-2032,I2,13-Jul-2010,4,0.85,0.96,0.20,0.097,.,0.034,0.000,15.000,17.566,.,0.020,.,.,35.9,2.57,274.26,22.83,513,267,0.203,.,.,.,.,.,.,.,
2010-2033,I2,13-Jul-2010,14,0.29,0.45,0.31,1.433,.,0.063,1.517,15.000,17.385,.,0.080,.,.,33.4,2.38,274.60,22.86,492,437,0.217,.,.,.,.,.,.,.,
2010-2034,I3,13-Jul-2010,1,0.55,0.86,0.61,0.188,.,0.019,0.031,13.600,17.862,.,0.110,.,.,59.7,4.26,577.02,48.04,451,260,0.230,.,.,.,.,.,.,.,
