SortChem_#,Site,Date,Rounded Depth (m),Hydrolab Depth,Time_hr_dst,IBVSvr4a_V,Temp_C,Cond_uS,pH,DO_Sat,DO_mg/l,DO_umoles/L,Chl_V,Chl_ug/l,PAR_uEm2s,refPAR_uEm2s,Hydrolab,Secchi_m,Notes
,Toolik,25-Jun-10,2,2,9:44,7,12.3,74.20,7.56,99.8,10.48,.,0.03,0.95,157,.,.,5,
2010-0242,Toolik,25-Jun-10,3,3,9:46,7,11.6,74.20,7.54,99.1,10.57,.,0.04,1.50,88,.,.,5,
,Toolik,25-Jun-10,4,4,9:49,6.9,9.89,74.10,7.43,98.2,10.9,.,0.05,2.34,48,.,.,5,
2010-0243,Toolik,25-Jun-10,5,5,9:50,6.9,8.66,73.80,7.36,96.7,11.06,.,0.07,2.99,27,.,.,5,
,Toolik,25-Jun-10,6,6,9:52,6.9,7.24,73.70,7.23,90.7,10.74,.,0.11,4.75,16,.,.,5,
,Toolik,25-Jun-10,7,7,9:54,6.9,6.16,73.80,7.11,83.4,10.15,.,0.12,5.25,9,.,.,5,
2010-0244,Toolik,25-Jun-10,8,8,9:56,6.9,5.45,73.40,7.09,81.8,10.13,.,0.07,2.89,6,.,.,5,
,Toolik,25-Jun-10,9,9,9:57,6.9,5,75.20,7.04,78.5,9.84,.,0.04,1.55,4,.,.,5,
,Toolik,25-Jun-10,10,10,10:00,6.9,4.82,76.00,7.03,77.4,9.75,.,0.03,1.34,3,.,.,5,
,Toolik,25-Jun-10,11,11,10:02,6.9,4.65,76.90,7,76.2,9.64,.,0.03,1.24,1,.,.,5,
2010-0245,Toolik,25-Jun-10,12,12,10:04,6.8,4.56,77.20,6.99,75.2,9.53,.,0.03,1.13,,.,.,5,
,Toolik,25-Jun-10,13,13,10:06,6.8,4.45,77.90,6.99,74.1,9.42,.,0.03,1.12,,.,.,5,
,Toolik,25-Jun-10,14,14,10:07,6.8,4.41,78.00,6.99,73.9,9.41,.,0.03,1.00,,.,.,5,
,Toolik,25-Jun-10,15,15,10:11,6.8,4.25,79.20,6.98,72.5,9.27,.,0.03,0.98,,.,.,5,
2010-0246,Toolik,25-Jun-10,16,16,10:13,6.8,4.17,79.30,6.97,71.8,9.19,.,0.03,0.87,,.,.,5,
,Toolik,25-Jun-10,17,17,10:14,6.8,4.14,79.20,6.96,71.3,9.14,.,0.03,0.96,,.,.,5,
,Toolik,25-Jun-10,18,18,10:16,6.8,4.12,79.50,6.96,70.6,9.05,.,0.02,0.88,,.,.,5,
,Toolik,25-Jun-10,19,19,10:17,6.8,4.1,79.50,6.95,70.2,9,.,0.03,0.94,,.,.,5,
2010-0247,Toolik,25-Jun-10,20,20,10:20,6.8,4.07,79.90,6.94,69.5,8.92,.,0.03,0.98,,.,.,5,
2010-0100,E5,28-Jun-10,0,0,11:11,7.3,14.77,11.80,6.94,104.5,9.61,.,0.02,0.83,1084,.,.,2.95,
,E5,28-Jun-10,0.5,0.5,11:13,7.3,14.59,11.80,6.92,104.2,9.62,.,0.02,0.84,683,.,.,2.95,
2010-0101,E5,28-Jun-10,1,1,11:15,7.3,14.43,11.80,6.92,104,9.64,.,0.04,1.57,516,.,.,2.95,
,E5,28-Jun-10,2,2,11:16,7.3,14.16,11.70,6.87,102.8,9.59,.,0.05,1.89,140,.,.,2.95,
2010-0102,E5,28-Jun-10,3,3,11:18,7.3,12.88,11.70,6.59,104.1,9.98,.,0.07,3.17,55,.,.,2.95,
,E5,28-Jun-10,4,4,11:19,7.3,8.27,11.90,6.23,86.3,9.22,.,0.09,3.97,20,.,.,2.95,
2010-0103,E5,28-Jun-10,5,5,11:21,7.3,6.64,11.90,6.1,72.1,8.02,.,0.12,5.62,8,.,.,2.95,
,E5,28-Jun-10,6,6,11:23,7.3,5.96,12.00,6.06,65,7.35,.,0.04,1.88,4,.,.,2.95,
,E5,28-Jun-10,7,7,11:24,7.2,5.64,12.20,6.05,61.8,7.05,.,0.04,1.65,3,.,.,2.95,
2010-0104,E5,28-Jun-10,8,8,11:26,7.3,5.5,12.40,6.04,59.2,6.78,.,0.04,1.44,2,.,.,2.95,
,E5,28-Jun-10,9,9,11:27,7.3,5.37,12.70,6.03,52.7,6.06,.,0.03,1.22,1,.,.,2.95,
2010-0105,E5,28-Jun-10,10,10,11:28,7.2,5.29,12.90,6.03,48.2,5.56,.,0.03,1.30,,.,.,2.95,
,E5,28-Jun-10,11,11,11:30,7.2,5.2,13.30,6.05,44.1,5.09,.,0.03,1.12,,.,.,2.95,
2010-0106,E6,28-Jun-10,0,0,9:43,7.3,15.25,11.70,6.88,99.3,9.04,.,0.02,0.55,802,.,.,.,Depth Sensor on hydrolab not working so depth were taken from meter marks on the hydrolab cable; Secchi Hit Bottom
,E6,28-Jun-10,0.5,0.5,9:44,7.3,15.23,11.60,6.86,99.1,9.03,.,0.02,0.72,490,.,.,.,Depth Sensor on hydrolab not working so depth were taken from meter marks on the hydrolab cable; Secchi Hit Bottom
2010-0107,E6,28-Jun-10,1,1,9:46,7.3,15.03,11.50,6.84,98.8,9.03,.,0.03,0.97,1061,.,.,.,Depth Sensor on hydrolab not working so depth were taken from meter marks on the hydrolab cable; Secchi Hit Bottom
2010-0108,E6,28-Jun-10,2,2,9:47,7.3,14.87,11.50,6.81,98.4,9.04,.,0.03,1.17,86,.,.,.,Depth Sensor on hydrolab not working so depth were taken from meter marks on the hydrolab cable; Secchi Hit Bottom
,E6,28-Jun-10,2.5,2.5,9:49,7.2,14.57,11.50,6.81,98.2,9.07,.,0.03,1.21,63,.,.,.,There was a entry for 2.8m depth. This was with the hydrolab sitting on the bottom so values not reliable and i removed. Depth Sensor on hydrolab not working so depth were taken from meter marks on the hydrolab cable; Secchi Hit Bottom
2010-2084,Fog 2,30-Jun-10,0,0.01,10:10,7.3,14.09,126.60,8.05,106.2,9.91,.,0.01,0.13,725,.,.,9.3,
,Fog 2,30-Jun-10,0.50,0.48,10:12,7.2,13.84,126.20,8.04,105.8,9.93,.,0.01,0.15,616,.,.,9.3,
2010-2085,Fog 2,30-Jun-10,1,1.01,10:13,7.2,13.81,126.20,8.05,105.6,9.92,.,0.01,0.14,506,.,.,9.3,
,Fog 2,30-Jun-10,2.00,2.02,10:15,7.2,13.72,126.00,8.04,105.2,9.9,.,0.01,0.24,309,.,.,9.3,
2010-2086,Fog 2,30-Jun-10,3,2.99,10:16,7.2,13.66,126.40,8.05,105,9.89,.,0.01,0.28,249,.,.,9.3,
,Fog 2,30-Jun-10,4.00,3.96,10:18,7.2,13.4,126.10,8.04,105.5,10,.,0.01,0.41,149,.,.,9.3,
2010-2087,Fog 2,30-Jun-10,5,4.97,10:19,7.2,10.54,125.30,7.84,112,11.33,.,0.01,0.34,138,.,.,9.3,
,Fog 2,30-Jun-10,6.00,5.98,10:21,7.2,8,127.80,7.8,108.1,11.62,.,0.02,0.50,96,.,.,9.3,
