SortChem_#,Site,Date,Depth (m),Corrected_Chl_ug/l,Total_Chl_ug/l,Pheo_ug/l,NH4OPA_uM,NH4 Indol_uM,PO4_uM,NO3_uM,TDN_uM,TN_uM,TP_uM,TDP_uM,PP-ug/l,PP_uM,PN-ug/l,PN_uM,PC-ug/l,PC_uM,DOC_uM,DIC_uM,Alk_meqL,SO4_uM,Cl_uM,Ca_uM,Mg_uM,Na_uM,K_uM,Si_uM,Notes
,NE9B,23-Jun-2000,3,.,3.93,.,0.156,.,0.270,.,.,.,.,.,.,.,122.27,.,832.23,.,.,.,3.848,702.86,15.74,2070.86,666.39,82.64,11.76,.,
,NE9B,23-Jun-2000,5,.,19.30,.,1.107,.,0.263,.,.,.,.,.,.,.,140.77,.,957.73,.,.,.,2.302,739.48,0.00,598.80,666.39,109.18,14.32,.,
2000-0078,I Swamp,26-Jun-2000,0,.,0.94,.,0.027,.,0.071,.,.,.,.,.,.,.,.,.,.,.,.,.,0.343,0.00,3.83,172.16,31.67,40.45,12.28,.,
2000-0079,I Swamp,26-Jun-2000,1,.,1.12,.,0.092,.,0.039,.,.,.,.,.,.,.,.,.,.,.,.,.,0.343,0.00,5.69,162.18,30.85,3.91,6.65,.,
2000-0080,I Swamp,26-Jun-2000,3,.,1.57,.,0.058,.,0.028,.,.,.,.,.,.,.,.,.,.,.,.,.,0.343,0.00,3.43,174.65,30.44,3.91,6.65,.,
2000-0073,I2,26-Jun-2000,0,.,2.20,.,0.023,.,0.009,.,.,.,.,.,.,.,.,.,.,.,.,.,0.250,3.05,48.20,117.27,37.02,3.91,7.93,.,
2000-0074,I2,26-Jun-2000,1,.,1.28,.,0.074,.,0.241,.,.,.,.,.,.,.,.,.,.,.,.,.,0.256,0.00,1.96,124.75,38.67,4.78,8.44,.,
2000-0075,I2,26-Jun-2000,3,.,3.20,.,0.034,.,0.061,.,.,.,.,.,.,.,.,.,.,.,.,.,0.253,0.00,1.24,112.28,37.84,4.78,8.18,.,
2000-0076,I2,26-Jun-2000,5,.,1.71,.,0.025,.,0.012,.,.,.,.,.,.,.,.,.,.,.,.,.,0.239,2.98,0.09,112.28,36.61,5.22,8.18,.,
2000-0077,I2,26-Jun-2000,8,.,1.90,.,0.065,.,0.052,.,.,.,.,.,.,.,.,.,.,.,.,.,0.237,2.98,18.07,124.75,37.02,3.48,7.67,.,
2000-0101,E5,28-Jun-2000,0,.,1.03,.,0.061,.,0.044,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.00,161.71,62.38,15.22,4.35,5.12,.,
2000-0102,E5,28-Jun-2000,1,.,2.31,.,0.117,.,0.032,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,3.05,3.73,49.90,15.22,4.78,5.12,.,
2000-0103,E5,28-Jun-2000,3,.,3.43,.,0.112,.,0.185,.,.,.,.,.,.,.,.,.,.,.,.,.,0.093,0.00,30.32,44.91,14.40,5.22,5.12,.,
2000-0104,E5,28-Jun-2000,5,.,4.33,.,0.111,.,0.251,.,.,.,.,.,.,.,.,.,.,.,.,.,0.104,3.14,6.06,62.38,14.40,5.22,4.86,.,
2000-0105,E5,28-Jun-2000,8,.,2.20,.,0.162,.,0.333,.,.,.,.,.,.,.,.,.,.,.,.,.,0.092,0.00,5.36,62.38,14.40,5.22,5.12,.,
2000-0106,E5,28-Jun-2000,10,.,2.92,.,0.107,.,0.177,.,.,.,.,.,.,.,.,.,.,.,.,.,0.077,4.38,368.90,39.92,14.40,5.65,5.12,.,
2000-0107,E6,28-Jun-2000,0,.,2.34,.,0.109,.,0.175,.,.,.,.,.,.,.,.,.,.,.,.,.,0.080,0.00,16.99,47.41,13.99,6.96,4.86,.,
2000-0108,E6,28-Jun-2000,1,.,3.13,.,0.124,.,0.164,.,.,.,.,.,.,.,.,.,.,.,.,.,0.087,0.00,15.95,47.41,13.57,7.39,4.86,.,
2000-0109,E6,28-Jun-2000,2,.,3.24,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.086,0.00,76.16,62.38,13.99,6.09,4.86,.,
,E6,28-Jun-2000,3,.,.,.,0.066,.,0.620,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2000-0110,Fog 4,28-Jun-2000,0,.,4.37,.,0.057,.,0.058,.,.,.,.,.,.,.,.,.,.,.,.,.,0.399,57.25,2.86,321.86,58.41,10.87,9.21,.,
2000-0111,Fog 4,28-Jun-2000,1,.,8.40,.,0.134,.,0.092,.,.,.,.,.,.,.,.,.,.,.,.,.,0.621,56.48,319.17,324.35,59.23,11.74,8.18,.,
2000-0112,Fog 4,28-Jun-2000,3,.,5.47,.,0.108,.,0.122,.,.,.,.,.,.,.,.,.,.,.,.,.,0.565,57.85,3.56,324.35,60.47,12.18,8.18,.,
2000-0129,N1,30-Jun-2000,0,.,0.59,.,0.246,.,0.183,.,.,.,.,.,.,.,.,.,.,.,.,.,1.245,18.41,4.62,598.80,109.83,6.09,8.70,.,
2000-0130,N1,30-Jun-2000,1,.,0.76,.,0.085,.,0.569,.,.,.,.,.,.,.,.,.,.,.,.,.,1.042,18.22,5.38,596.31,110.65,6.09,8.95,.,
2000-0131,N1,30-Jun-2000,3,.,0.93,.,0.030,.,0.731,.,.,.,.,.,.,.,.,.,.,.,.,.,0.939,17.97,5.37,596.31,111.07,7.83,8.70,.,
2000-0132,N1,30-Jun-2000,5,.,3.40,.,0.132,.,0.681,.,.,.,.,.,.,.,.,.,.,.,.,.,1.603,24.28,6.31,748.50,137.80,26.97,12.28,.,
2000-0133,N1,30-Jun-2000,8,.,5.67,.,0.195,.,1.210,.,.,.,.,.,.,.,.,.,.,.,.,.,1.841,27.78,17.02,858.28,151.79,10.44,10.23,.,
,N1,30-Jun-2000,12,.,0.93,.,11.582,.,0.150,.,.,.,.,.,.,.,.,.,.,.,.,.,1.937,23.01,33.05,860.78,157.14,10.87,11.00,.,
2000-0135,Toolik Main,30-Jun-2000,0,.,1.34,.,0.081,.,0.035,.,.,.,.,.,.,.,.,.,.,.,.,.,0.624,15.54,4.16,276.95,61.70,10.44,6.39,.,
2000-0136,Toolik Main,30-Jun-2000,1,.,2.24,.,0.264,.,0.081,.,.,.,.,.,.,.,.,.,.,.,.,.,0.642,16.28,9.44,276.95,61.70,19.57,8.70,.,
2000-0137,Toolik Main,30-Jun-2000,3,.,5.53,.,0.148,.,0.042,.,.,.,.,.,.,.,.,.,.,.,.,.,0.651,15.77,168.05,286.93,62.11,43.50,14.83,.,
2000-0138,Toolik Main,30-Jun-2000,5,.,5.20,.,0.033,.,0.391,.,.,.,.,.,.,.,.,.,.,.,.,.,0.634,15.61,4.34,284.43,61.70,20.01,8.18,.,
2000-0139,Toolik Main,30-Jun-2000,8,.,1.74,.,0.081,.,0.431,.,.,.,.,.,.,.,.,.,.,.,.,.,0.627,16.14,4.66,284.43,61.70,10.87,6.65,.,
2000-0140,Toolik Main,30-Jun-2000,12,.,0.87,.,0.099,.,0.264,.,.,.,.,.,.,.,.,.,.,.,.,.,0.687,17.65,7.22,296.91,64.99,11.31,6.65,.,
,Toolik Main,30-Jun-2000,16,.,0.62,.,0.249,.,0.123,.,.,.,.,.,.,.,.,.,.,.,.,.,0.680,17.68,4.87,304.39,66.64,10.87,6.65,.,
2000-0170,S11,03-Jul-2000,1,.,1.23,.,0.028,.,1.033,.,.,.,.,.,.,.,105.56,.,266.29,.,.,.,1.774,110.19,10.18,838.32,236.53,18.70,10.49,.,
2000-0171,S11,03-Jul-2000,3,.,0.76,.,0.058,.,0.079,.,.,.,.,.,.,.,34.00,.,284.57,.,.,.,3.494,218.72,0.00,1649.20,464.83,41.76,15.86,.,
2000-0172,S11,03-Jul-2000,10,.,2.87,.,0.099,.,0.150,.,.,.,.,.,.,.,170.57,.,1214.67,.,.,.,3.510,211.91,0.00,1624.25,481.28,41.32,16.88,.,
2000-0164,S6,03-Jul-2000,1,.,1.91,.,0.096,.,0.014,.,.,.,.,.,.,.,49.97,.,363.57,.,.,.,1.426,122.83,0.00,1000.50,192.51,19.57,8.18,.,
2000-0165,S6,03-Jul-2000,3,.,7.80,.,0.011,.,0.050,.,.,.,.,.,.,.,80.30,.,641.53,.,.,.,3.609,248.13,0.00,1796.41,195.39,39.15,9.72,.,
2000-0166,S6,03-Jul-2000,7,.,7.33,.,0.014,.,0.070,.,.,.,.,.,.,.,58.90,.,513.70,.,.,.,3.646,248.40,0.00,1806.39,361.17,39.58,9.72,.,
2000-0167,S7,03-Jul-2000,0,.,0.64,.,0.119,.,0.032,.,.,.,.,.,.,.,33.90,.,254.20,.,.,.,2.249,144.67,8.12,1277.45,234.88,33.06,4.86,.,
2000-0168,S7,03-Jul-2000,1,.,1.77,.,0.131,.,0.168,.,.,.,.,.,.,.,41.03,.,345.70,.,.,.,2.233,143.77,21.98,1274.95,234.88,49.59,6.14,.,
,S7,03-Jul-2000,3,.,1.23,.,0.129,.,0.105,.,.,.,.,.,.,.,52.93,.,401.37,.,.,.,2.207,143.89,0.00,1247.50,234.88,33.93,4.60,.,
2000-0186,E5,05-Jul-2000,0,.,0.90,.,0.231,.,0.051,.,.,.,.,.,.,.,.,.,.,.,.,.,0.086,2.90,11.24,49.90,14.40,5.22,4.86,.,
2000-0187,E5,05-Jul-2000,1,.,1.06,.,0.024,.,0.085,.,.,.,.,.,.,.,.,.,.,.,.,.,0.088,10.17,868.41,52.40,14.40,4.78,4.86,.,
2000-0188,E5,05-Jul-2000,3,.,1.10,.,0.005,.,0.080,.,.,.,.,.,.,.,.,.,.,.,.,.,0.086,10.84,898.48,44.91,14.40,4.78,4.86,.,
2000-0189,E5,05-Jul-2000,5,.,1.58,.,0.005,.,0.076,.,.,.,.,.,.,.,.,.,.,.,.,.,0.085,11.60,1473.28,47.41,14.40,13.48,7.16,.,
2000-0190,E5,05-Jul-2000,8,.,2.58,.,0.015,.,0.195,.,.,.,.,.,.,.,.,.,.,.,.,.,0.090,11.84,1327.94,52.40,14.40,4.78,4.86,.,
2000-0191,E5,05-Jul-2000,10,.,1.67,.,0.044,.,0.125,.,.,.,.,.,.,.,.,.,.,.,.,.,0.065,0.00,5.27,52.40,14.40,4.78,5.37,.,
2000-0192,E6,05-Jul-2000,0,.,0.87,.,0.132,.,0.067,.,.,.,.,.,.,.,.,.,.,.,.,.,0.081,.,4.97,.,.,.,.,.,
2000-0193,E6,05-Jul-2000,1,.,1.20,.,0.330,.,0.216,.,.,.,.,.,.,.,.,.,.,.,.,.,0.080,0.00,11.91,42.42,13.99,7.83,4.35,.,
2000-0194,E6,05-Jul-2000,2,.,1.21,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.00,19.12,42.42,13.99,6.96,4.35,.,
,E6,05-Jul-2000,3,.,.,.,0.165,.,0.130,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2000-0203,I Swamp,06-Jul-2000,1,.,0.71,.,0.050,.,0.301,.,.,.,.,.,.,.,24.63,.,274.63,.,.,.,0.347,0.00,23.84,174.65,32.91,3.48,4.09,.,
2000-0204,I Swamp,06-Jul-2000,4,.,1.00,.,0.174,.,0.122,.,.,.,.,.,.,.,36.37,.,362.07,.,.,.,0.297,2.47,12.03,162.18,32.09,28.71,7.16,.,
2000-0197,I6,06-Jul-2000,1,.,3.37,.,0.122,.,0.014,.,.,.,.,.,.,.,18.90,.,169.43,.,.,.,0.341,2.41,5.11,159.68,32.09,3.04,6.39,.,
2000-0198,I6,06-Jul-2000,5,.,2.03,.,0.053,.,0.090,.,.,.,.,.,.,.,36.37,.,335.27,.,.,.,0.358,0.00,195.06,174.65,33.73,3.48,6.91,.,
2000-0199,I7,06-Jul-2000,1,.,2.28,.,0.004,.,0.030,.,.,.,.,.,.,.,34.00,.,297.83,.,.,.,0.348,3.08,1.85,159.68,32.50,3.48,6.65,.,
2000-0200,I7,06-Jul-2000,5,.,5.37,.,0.114,.,0.065,.,.,.,.,.,.,.,48.67,.,478.43,.,.,.,0.295,2.97,4.07,144.71,27.56,2.17,7.67,.,
2000-0201,I8,06-Jul-2000,1,.,2.67,.,0.116,.,0.159,.,.,.,.,.,.,.,41.07,.,326.77,.,.,.,0.420,7.28,3.80,199.60,41.96,5.22,4.86,.,
2000-0202,I8,06-Jul-2000,5,.,2.12,.,0.055,.,0.057,.,.,.,.,.,.,.,43.97,.,455.27,.,.,.,0.393,7.00,2.91,179.64,41.14,4.35,4.35,.,
2000-0238,I1,07-Jul-2000,1,.,1.06,.,0.010,.,0.041,.,.,.,.,.,.,.,39.93,.,355.47,.,.,.,0.121,0.00,0.00,112.28,30.85,3.48,6.91,.,
,I1,07-Jul-2000,6,.,0.79,.,0.016,.,0.085,.,.,.,.,.,.,.,29.57,.,260.63,.,.,.,0.248,0.00,0.00,112.28,30.85,3.04,6.39,.,
,I2,07-Jul-2000,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.235,0.00,0.00,112.28,37.43,3.48,7.42,.,
2000-0240,I2,07-Jul-2000,1,.,1.45,.,0.037,.,0.035,.,.,.,.,.,.,.,32.50,.,313.77,.,.,.,0.196,0.00,0.90,127.25,37.02,3.91,7.67,.,
2000-0241,I2,07-Jul-2000,3,.,3.40,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.164,3.29,11.52,107.29,37.43,3.48,7.42,.,
,I2,07-Jul-2000,6,.,3.40,.,0.036,.,0.056,.,.,.,.,.,.,.,44.93,.,338.23,.,.,.,0.236,3.13,5.34,129.74,37.02,3.48,7.67,.,
2000-0242,I3,07-Jul-2000,1,.,1.03,.,0.026,.,0.040,.,.,.,.,.,.,.,40.80,.,313.57,.,.,.,0.208,1.10,239.01,112.28,28.79,2.61,4.86,.,
,I3,07-Jul-2000,4,.,2.12,.,0.036,.,0.055,.,.,.,.,.,.,.,48.47,.,354.37,.,.,.,0.205,0.00,21.31,122.26,28.79,3.04,4.60,.,
2000-0244,I4,07-Jul-2000,1,.,0.97,.,0.020,.,0.206,.,.,.,.,.,.,.,57.33,.,389.03,.,.,.,0.198,0.00,1.03,87.33,27.56,13.92,6.65,.,
,I4,07-Jul-2000,4,.,1.67,.,0.008,.,0.089,.,.,.,.,.,.,.,35.47,.,289.33,.,.,.,0.196,0.00,0.00,99.80,27.56,8.26,6.14,.,
2000-0246,I5,07-Jul-2000,1,.,1.96,.,0.018,.,0.019,.,.,.,.,.,.,.,30.73,.,292.53,.,.,.,0.220,0.00,2.77,107.29,28.38,11.31,6.39,.,
2000-0247,I5,07-Jul-2000,3,.,1.23,.,0.038,.,0.093,.,.,.,.,.,.,.,43.17,.,342.90,.,.,.,0.221,0.00,0.63,107.29,29.21,8.70,6.39,.,
,Toolik Main,09-Jul-2000,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.628,15.81,0.00,286.93,60.88,10.00,6.39,.,
2000-0280,E1,10-Jul-2000,1,.,1.66,.,0.043,.,0.228,.,.,.,.,.,.,.,39.87,.,312.37,.,.,.,0.770,31.44,8.27,374.25,78.98,18.70,4.86,.,
2000-0281,E1,10-Jul-2000,5,.,2.43,.,0.222,.,0.052,.,.,.,.,.,.,.,46.70,.,339.97,.,.,.,1.118,45.08,7.39,718.56,109.01,26.97,4.86,.,
2000-0282,E1,10-Jul-2000,10,.,2.72,.,0.491,.,0.147,.,.,.,.,.,.,.,57.10,.,388.83,.,.,.,1.422,57.18,104.48,636.23,158.37,32.62,4.86,.,
2000-0274,N1,10-Jul-2000,0,.,1.12,.,0.024,.,0.175,.,.,.,.,.,.,.,.,.,.,.,.,.,1.258,19.05,5.15,598.80,106.95,6.52,8.44,.,
2000-0275,N1,10-Jul-2000,1,.,1.23,.,0.032,.,0.151,.,.,.,.,.,.,.,.,.,.,.,.,.,1.256,18.64,220.01,598.80,111.07,7.39,8.44,.,
2000-0276,N1,10-Jul-2000,3,.,1.77,.,0.027,.,0.202,.,.,.,.,.,.,.,.,.,.,.,.,.,1.250,18.72,6.65,618.76,111.48,32.19,13.04,.,
2000-0277,N1,10-Jul-2000,5,.,4.67,.,0.056,.,0.324,.,.,.,.,.,.,.,.,.,.,.,.,.,1.423,21.33,8.07,671.16,122.99,7.39,9.21,.,
2000-0278,N1,10-Jul-2000,8,.,6.27,.,0.024,.,0.174,.,.,.,.,.,.,.,.,.,.,.,.,.,1.843,28.00,6.49,865.77,152.20,16.53,12.28,.,
2000-0279,N1,10-Jul-2000,12,.,1.32,.,4.159,.,0.088,.,.,.,.,.,.,.,.,.,.,.,.,.,1.959,23.76,7.43,873.25,154.26,10.87,10.74,.,
2000-0283,Toolik Main,10-Jul-2000,0,.,2.21,.,0.023,.,0.081,.,.,.,.,.,.,.,.,.,.,.,.,.,0.612,15.58,0.00,271.96,60.47,12.18,6.65,.,
,Toolik Main,10-Jul-2000,1,.,2.55,.,0.035,.,0.119,.,.,.,.,.,.,.,.,.,.,.,.,.,0.634,15.73,6.26,291.92,61.70,8.70,6.14,.,
,Toolik Main,10-Jul-2000,3,.,2.34,.,0.036,.,0.087,.,.,.,.,.,.,.,.,.,.,.,.,.,0.626,15.99,4.35,271.96,60.88,46.54,12.79,.,
,Toolik Main,10-Jul-2000,5,.,5.13,.,0.020,.,0.721,.,.,.,.,.,.,.,.,.,.,.,.,.,0.628,16.09,5.60,274.45,62.53,9.57,6.65,.,
,Toolik Main,10-Jul-2000,8,.,1.24,.,0.035,.,0.447,.,.,.,.,.,.,.,.,.,.,.,.,.,0.567,16.17,0.00,274.45,63.35,10.87,6.65,.,
,Toolik Main,10-Jul-2000,12,.,0.63,.,0.099,.,0.150,.,.,.,.,.,.,.,.,.,.,.,.,.,0.667,16.83,0.00,314.37,65.82,13.92,6.65,.,
,Toolik Main,10-Jul-2000,16,.,0.62,.,0.170,.,0.109,.,.,.,.,.,.,.,.,.,.,.,.,.,0.670,17.95,3.26,309.38,65.82,12.61,6.65,.,
2000-0294,E5,11-Jul-2000,0,.,1.10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.086,2.97,2.82,69.86,14.81,20.88,7.67,.,
2000-0295,E5,11-Jul-2000,1,.,1.11,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.00,5.12,84.83,13.57,4.78,4.86,.,
2000-0296,E5,11-Jul-2000,3,.,1.64,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.087,2.92,3.19,54.89,13.57,24.36,7.67,.,
2000-0297,E5,11-Jul-2000,5,.,3.03,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.030,3.03,4.71,77.35,13.57,5.22,4.86,.,
2000-0298,E5,11-Jul-2000,8,.,2.08,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.089,0.00,3.30,59.88,13.57,4.78,5.12,.,
2000-0299,E5,11-Jul-2000,10,.,1.97,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.033,0.00,3.61,47.41,13.99,4.78,5.12,.,
2000-0300,E6,11-Jul-2000,0,.,1.51,.,0.132,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.083,0.00,14.07,42.42,14.40,28.27,6.65,.,
2000-0301,E6,11-Jul-2000,1,.,1.04,.,0.070,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.050,0.00,3.84,42.42,14.40,7.83,4.09,.,
2000-0302,E6,11-Jul-2000,2,.,0.84,.,0.091,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.083,0.00,224.67,37.43,14.40,7.39,4.09,.,
2000-0303,Fog 4,11-Jul-2000,0,.,1.54,.,0.353,.,.,.,.,.,.,.,.,.,47.10,.,386.27,.,.,.,0.685,66.48,0.49,356.79,68.70,12.61,7.16,.,
2000-0304,Fog 4,11-Jul-2000,1,.,2.39,.,0.279,.,.,.,.,.,.,.,.,.,26.23,.,240.60,.,.,.,0.682,66.67,2.37,374.25,66.23,13.48,7.16,.,
2000-0305,Fog 4,11-Jul-2000,3,.,4.00,.,1.057,.,.,.,.,.,.,.,.,.,57.27,.,447.87,.,.,.,0.674,65.30,2.02,349.30,65.82,12.18,7.16,.,
