datetime,wtr,DO_con
2000-07-03,21.3,8.6
2000-07-17,25.2,12
2000-07-31,22.7,8.2
2000-08-16,24.7,8.55
2000-08-28,22.8,7.9
2000-09-25,17.3,6.55
2000-10-24,14.9,7.55
2000-11-28,5.9,11.25
2001-01-17,0.8,10.55
2001-03-07,0.9,12.6
2001-04-10,4.6,15.05
2001-04-23,7.7,13.4
2001-05-07,12.5,10.2
2001-05-21,17.8,9.4
2001-06-04,14.7,9.05
2001-06-18,19.5,9.3
2001-07-02,22.7,10.75
2001-07-16,25.4,10.3
2001-07-30,25.2,9.25
2001-08-13,25.8,6.5
2001-08-27,22.9,7.7
2001-09-26,16.5,7
2001-10-22,13.3,7.2
2001-11-26,9.8,9.95
2002-03-28,1.6,17.3
2002-04-08,3.3,17.5
2002-04-24,8,12.85
2002-05-06,11.2,10.85
2002-05-20,11.7,10.2
2002-06-03,14.4,9.55
2002-06-18,20,8.7
2002-07-01,25.8,10.6
2002-07-15,26.3,11.35
2002-07-26,25.4,9.35
2002-08-12,24.8,8.6
2002-08-26,24.1,8.75
2002-09-23,20.4,8.5
2002-10-21,12.6,7.9
2002-11-18,7.3,11.55
2003-01-21,0.1,19.1
2003-04-03,3.1,14.65
2003-04-14,4.2,14.05
2003-04-28,9.3,12.9
2003-05-13,11.1,10.65
2003-05-27,16.3,11.2
2003-06-09,18,10.85
2003-06-23,22.3,10.05
2003-07-07,24.8,8.25
2003-07-24,23.3,8.3
2003-08-04,24.3,9.6
2003-08-18,25.8,9.3
2003-09-02,23.8,7.5
2003-09-29,16.2,8.25
2003-10-27,12.8,8.8
2003-11-25,6.7,11.125
2004-02-03,0.5,13.6
2004-03-29,3.5,14
2004-04-12,6.2,15.1
2004-04-28,8.9,11.8
2004-05-10,13.5,10
2004-05-24,15.1,9.8
2004-06-07,19.2,9.2
2004-06-21,20.6,9.35
2004-07-19,23.2,10.75
2004-08-03,24.3,9.8
2004-08-16,20.1,9.3
2004-09-07,21.9,8.5
2004-10-05,16.8,9.6
2004-11-03,12.3,8.8
2005-01-31,0.4,12.5
2005-04-15,7.6,13.7
2005-04-25,8,10.3
2005-05-09,10.2,11.65
2005-05-23,13.4,10.6
2005-06-06,18.9,11.5
2005-06-20,24.1,10.5
2005-07-05,23.5,11.3
2005-07-18,26.3,13.7
2005-08-01,25.5,9.25
2005-08-15,24.6,7.25
2005-08-29,24.8,8.95
2005-09-26,20.8,7.65
2005-11-02,12.6,7.6
2005-11-30,5.5,11.2
2006-03-06,0.9,14.2
2006-04-04,3.7,13.4
2006-04-17,6.5,13.35
2006-05-02,11.6,11.8
2006-05-15,11.1,10.5
2006-05-30,18.4,10.45
2006-06-12,20.2,10.05
2006-06-26,21.4,9.6
2006-07-10,24.4,9.55
2006-07-24,24.3,8.5
2006-08-07,26,8.1
2006-08-21,23.8,7.4
2006-09-06,24.2,8.9
2006-10-02,16.1,8.45
2006-10-30,9.9,9.85
2006-11-27,7,11.2
2007-01-03,2.2,14
2007-02-19,0.3,14.3
2007-04-02,3.8,13.35
2007-04-16,4.2,13.9
2007-04-30,8.9,13.55
2007-05-14,14.2,10
2007-05-29,17.7,9.5
2007-06-11,20.4,9.15
2007-06-25,23.5,10.55
2007-07-09,26,9.9
2007-07-23,23.8,9.75
2007-08-06,25.2,7.9
2007-08-20,22.8,6.75
2007-09-04,24,9.6
2007-10-01,19.4,8
2007-10-29,14.3,7.45
2007-11-26,7.1,11.05
2008-02-13,0.1,12.9
2008-04-14,3.2,15.4
2008-04-28,7.8,15.9
2008-05-12,10.6,13.5
2008-05-28,14.9,11.1
2008-06-09,18,9.85
2008-06-23,22.3,12.9
2008-07-07,23.7,11.8
2008-07-21,25.4,11.05
2008-08-04,25.3,8.2
2008-08-18,24.5,8.25
2008-09-05,22.7,6.9
2008-09-29,20.3,8.05
2008-10-29,12.4,9.35
2009-01-21,0.1,16.3
2009-04-15,5.1,12.7
2009-04-27,7.7,13.5
2009-05-11,13.1,12.6
2009-05-28,14.7,10.7
2009-06-09,17.6,8.75
2009-06-23,24.7,9.85
2009-07-06,22.6,14.5
2009-07-20,21.8,13.1
2009-08-05,23.2,10.35
2009-08-19,23.7,10.8
2009-09-02,21.5,9.7
2009-09-30,18.2,6.1
2009-10-28,11.5,8.05
2009-12-03,8.5,9.8
2010-02-01,1.8,11.1
2010-03-29,4.5,14.6
2010-04-13,6.9,14.1
2010-04-26,9.8,13
2010-05-10,12.1,10.2
2010-05-24,20.3,9.05
2010-06-07,20.6,10.95
2010-06-21,22.3,9.8
2010-07-05,24.2,9.3
2010-07-19,26.4,9
2010-08-03,26.9,7.55
2010-08-16,25.1,6.9
2010-08-30,24.3,7.45
2010-10-05,17.3,6.85
2010-11-09,10.9,10.65
2011-01-19,0.3,12.4
2011-04-18,6.2,13.6
2011-05-02,8,12
2011-05-17,11.2,10.15
2011-05-31,15,8.15
2011-06-13,18.9,10.3
2011-06-27,20.6,9.3
2011-07-11,25.8,11.6
2011-07-25,27.4,10.3
2011-08-04,28.1,8.4
2011-08-22,25.1,9.05
2011-09-12,22.5,11.9
2011-10-03,15.9,8.6
2011-10-31,12.2,10.9
2012-02-22,1.9,15.2
2012-03-21,7.3,14.4
2012-04-04,8.9,13.1
2012-04-17,11,10.25
2012-05-01,10.9,9.5
2012-05-14,16.1,9.95
2012-05-29,19.2,8.7
2012-06-11,21.3,10.7
2012-06-25,23.7,10.25
2012-07-10,27.6,8.75
2012-07-23,27.5,7.8
2012-08-06,26.5,7.8
2012-08-20,23.6,7.85
2012-09-04,24.8,7.9
2012-10-01,17,10.2
2012-10-29,11.8,8.7
2012-11-29,6.2,11.5
2013-02-12,0.3,15.6
2013-04-29,6.2,16.3
2013-05-14,12.2,13.1
2013-05-28,14.5,11.25
2013-06-10,20.9,10.15
2013-06-24,22.1,11.65
2013-07-08,24.6,6.6
2013-07-22,26.2,9.15
2013-08-05,22.6,7.55
2013-08-21,24.2,8.7
2013-09-04,24.1,7.5
2013-09-30,19.3,8.3
2013-10-29,11.5,8.8
2013-12-02,4.5,14.3
2014-02-03,0,13.5
2014-04-29,6.3,12.1
2014-05-14,11.2,14.15
2014-05-28,18.3,13.5
2014-06-09,20.7,9.6
2014-06-23,23.5,10.75
2014-07-07,23.8,9.75
2014-07-21,23.1,10.05
2014-08-04,23.9,10.65
2014-08-20,24.2,9.25
2014-09-02,23.8,8.3
2014-09-28,20.3,11.05
2014-10-30,12.2,8.45
2015-02-11,0.1,14.2
2015-04-10,4.6,13.65
2015-04-24,7.5,13.1
2015-05-01,10.5,14.65
2015-05-13,13.6,11.75
2015-05-27,15.9,9.55
2015-06-08,20.4,9.6
2015-06-23,22,9.55
2015-07-08,22.8,9.45
2015-07-20,24.5,9.3
2015-08-03,24.4,8.2
2015-08-18,25.7,8.45
2015-08-31,22.4,9.7
2015-10-07,17.4,8.5
2015-11-02,12.4,8.95
