sampledate,depth,wtemp
2006-06-29,15.00,11.406
2006-06-30,0.00,23.416
2006-06-30,0.50,23.316
2006-06-30,1.00,23.175
2006-06-30,1.50,22.944
2006-06-30,2.00,22.751
2006-06-30,2.50,22.640
2006-06-30,3.00,22.397
2006-06-30,3.50,22.490
2006-06-30,4.00,22.389
2006-06-30,4.50,22.125
2006-06-30,5.00,21.818
2006-06-30,5.50,21.544
2006-06-30,6.00,21.197
2006-06-30,6.50,20.912
2006-06-30,7.00,20.389
2006-06-30,8.00,18.917
2006-06-30,9.00,16.185
2006-06-30,10.00,13.724
2006-06-30,11.00,12.880
2006-06-30,12.00,12.191
2006-06-30,13.00,11.738
2006-06-30,14.00,11.565
2006-06-30,15.00,11.390
2006-07-01,0.00,22.321
2006-07-01,0.50,22.305
2006-07-01,1.00,22.327
2006-07-01,1.50,22.287
2006-07-01,2.00,22.310
2006-07-01,2.50,22.263
2006-07-01,3.00,22.079
2006-07-01,3.50,22.237
2006-07-01,4.00,22.204
2006-07-01,4.50,21.992
2006-07-01,5.00,21.864
2006-07-01,5.50,21.794
2006-07-01,6.00,21.684
2006-07-01,6.50,21.571
2006-07-01,7.00,21.274
2006-07-01,8.00,19.841
2006-07-01,9.00,16.469
2006-07-01,10.00,14.304
2006-07-01,11.00,12.871
2006-07-01,12.00,12.086
2006-07-01,13.00,11.558
2006-07-01,14.00,11.244
2006-07-01,15.00,11.122
2006-07-02,0.00,22.762
2006-07-02,0.50,22.709
2006-07-02,1.00,22.697
2006-07-02,1.50,22.611
2006-07-02,2.00,22.582
2006-07-02,2.50,22.492
2006-07-02,3.00,22.261
2006-07-02,3.50,22.361
2006-07-02,4.00,22.259
2006-07-02,4.50,22.107
2006-07-02,5.00,22.009
2006-07-02,5.50,21.916
2006-07-02,6.00,21.610
2006-07-02,6.50,21.245
2006-07-02,7.00,20.898
2006-07-02,8.00,18.925
2006-07-02,9.00,16.614
2006-07-02,10.00,15.205
2006-07-02,11.00,14.321
2006-07-02,12.00,13.676
2006-07-02,13.00,13.124
2006-07-02,14.00,12.729
2006-07-02,15.00,12.414
2006-07-03,0.00,23.037
2006-07-03,0.50,23.001
2006-07-03,1.00,23.013
2006-07-03,1.50,22.944
2006-07-03,2.00,22.956
2006-07-03,2.50,22.897
2006-07-03,3.00,22.641
2006-07-03,3.50,22.745
2006-07-03,4.00,22.693
2006-07-03,4.50,22.594
2006-07-03,5.00,22.533
2006-07-03,5.50,22.408
2006-07-03,6.00,22.021
2006-07-03,6.50,21.458
2006-07-03,7.00,20.639
2006-07-03,8.00,19.361
2006-07-03,9.00,16.925
2006-07-03,10.00,15.155
2006-07-03,11.00,13.754
2006-07-03,12.00,12.940
2006-07-03,13.00,12.420
2006-07-03,14.00,12.108
2006-07-03,15.00,11.864
2006-07-04,0.00,23.734
2006-07-04,0.50,23.713
2006-07-04,1.00,23.732
2006-07-04,1.50,23.677
2006-07-04,2.00,23.702
2006-07-04,2.50,23.660
2006-07-04,3.00,23.385
2006-07-04,3.50,23.377
2006-07-04,4.00,23.185
2006-07-04,4.50,22.931
2006-07-04,5.00,22.732
2006-07-04,5.50,22.459
2006-07-04,6.00,21.964
2006-07-04,6.50,21.331
2006-07-04,7.00,20.957
2006-07-04,8.00,20.128
2006-07-04,9.00,17.201
2006-07-04,10.00,14.320
2006-07-04,11.00,13.031
2006-07-04,12.00,12.330
2006-07-04,13.00,11.991
2006-07-04,14.00,11.763
2006-07-04,15.00,11.544
2006-07-05,0.00,24.288
2006-07-05,0.50,24.235
2006-07-05,1.00,24.207
2006-07-05,1.50,24.105
2006-07-05,2.00,24.039
2006-07-05,2.50,23.922
2006-07-05,3.00,23.594
2006-07-05,3.50,23.513
2006-07-05,4.00,23.287
2006-07-05,4.50,23.015
2006-07-05,5.00,22.811
2006-07-05,5.50,22.644
2006-07-05,6.00,22.336
2006-07-05,6.50,21.949
2006-07-05,7.00,21.576
2006-07-05,8.00,20.324
2006-07-05,9.00,16.312
2006-07-05,10.00,13.349
2006-07-05,11.00,12.712
2006-07-05,12.00,12.403
2006-07-05,13.00,12.107
2006-07-05,14.00,11.908
2006-07-05,15.00,11.706
2006-07-06,0.00,25.031
2006-07-06,0.50,24.459
2006-07-06,1.00,24.272
2006-07-06,1.50,24.084
2006-07-06,2.00,23.986
2006-07-06,2.50,23.909
2006-07-06,3.00,23.576
2006-07-06,3.50,23.640
2006-07-06,4.00,23.476
2006-07-06,4.50,23.282
2006-07-06,5.00,23.084
2006-07-06,5.50,22.731
2006-07-06,6.00,22.172
2006-07-06,6.50,21.622
2006-07-06,7.00,20.984
2006-07-06,8.00,19.611
2006-07-06,9.00,16.806
2006-07-06,10.00,14.932
2006-07-06,11.00,13.572
2006-07-06,12.00,12.638
2006-07-06,13.00,12.173
2006-07-06,14.00,11.906
2006-07-06,15.00,11.729
2006-07-07,0.00,24.240
2006-07-07,0.50,24.122
2006-07-07,1.00,24.087
2006-07-07,1.50,23.978
2006-07-07,2.00,23.988
2006-07-07,2.50,24.000
2006-07-07,3.00,23.728
2006-07-07,3.50,23.832
2006-07-07,4.00,23.692
2006-07-07,4.50,23.425
2006-07-07,5.00,23.173
2006-07-07,5.50,22.548
2006-07-07,6.00,21.728
2006-07-07,6.50,21.405
2006-07-07,7.00,21.087
2006-07-07,8.00,20.002
2006-07-07,9.00,16.840
2006-07-07,10.00,14.613
2006-07-07,11.00,13.207
2006-07-07,12.00,12.177
2006-07-07,13.00,11.805
2006-07-07,14.00,11.587
2006-07-07,15.00,11.335
2006-07-09,0.00,24.271
2006-07-09,0.50,24.250
2006-07-09,1.00,24.275
2006-07-09,1.50,24.240
2006-07-09,2.00,24.294
2006-07-09,2.50,24.220
2006-07-09,3.00,24.122
2006-07-09,3.50,24.297
2006-07-09,4.00,24.273
2006-07-09,4.50,24.196
2006-07-09,5.00,24.139
2006-07-09,5.50,24.079
2006-07-09,6.00,23.951
2006-07-09,6.50,23.504
2006-07-09,7.00,22.001
2006-07-09,8.00,18.896
2006-07-09,9.00,15.291
2006-07-09,10.00,14.044
2006-07-09,11.00,13.341
2006-07-09,12.00,12.861
2006-07-09,13.00,12.440
2006-07-09,14.00,12.095
2006-07-09,15.00,11.821
2006-07-10,0.00,24.142
2006-07-10,0.50,24.050
2006-07-10,1.00,24.028
2006-07-10,1.50,23.935
2006-07-10,2.00,23.931
2006-07-10,2.50,23.930
2006-07-10,3.00,23.667
2006-07-10,3.50,23.802
2006-07-10,4.00,23.771
2006-07-10,4.50,23.719
2006-07-10,5.00,23.689
2006-07-10,5.50,23.564
2006-07-10,6.00,23.214
2006-07-10,6.50,22.863
2006-07-10,7.00,22.143
2006-07-10,8.00,20.126
2006-07-10,9.00,18.334
2006-07-10,10.00,16.029
2006-07-10,11.00,14.184
2006-07-10,12.00,13.300
2006-07-10,13.00,12.488
2006-07-10,14.00,12.088
2006-07-10,15.00,11.740
2006-07-11,0.00,23.278
2006-07-11,0.50,23.270
2006-07-11,1.00,23.292
2006-07-11,1.50,23.260
2006-07-11,2.00,23.307
2006-07-11,2.50,23.296
2006-07-11,3.00,23.129
2006-07-11,3.50,23.303
2006-07-11,4.00,23.285
2006-07-11,4.50,23.187
2006-07-11,5.00,23.108
2006-07-11,5.50,22.991
2006-07-11,6.00,22.900
2006-07-11,6.50,22.825
2006-07-11,7.00,22.719
2006-07-11,8.00,22.025
2006-07-11,9.00,18.892
2006-07-11,10.00,15.103
2006-07-11,11.00,13.234
2006-07-11,12.00,12.260
2006-07-11,13.00,11.686
2006-07-11,14.00,11.446
2006-07-11,15.00,11.297
2006-07-14,0.00,25.603
2006-07-14,2.00,25.521
2006-07-14,4.00,25.340
2006-07-14,8.00,15.910
2006-07-14,13.00,11.846
2006-07-15,0.00,25.668
2006-07-15,2.00,25.544
2006-07-15,4.00,24.916
2006-07-15,8.00,16.900
2006-07-15,13.00,12.151
2006-07-16,0.00,25.763
2006-07-16,2.00,25.710
2006-07-16,4.00,24.997
2006-07-16,8.00,17.055
2006-07-16,13.00,11.895
2006-07-17,0.00,25.549
2006-07-17,2.00,25.483
2006-07-17,4.00,25.285
2006-07-17,8.00,16.616
2006-07-17,13.00,12.119
2006-07-18,0.00,26.082
2006-07-18,2.00,25.970
2006-07-18,4.00,25.518
2006-07-18,8.00,18.900
2006-07-18,13.00,12.474
2006-07-19,0.00,25.210
2006-07-19,2.00,25.190
2006-07-19,4.00,25.099
2006-07-19,8.00,16.190
2006-07-19,13.00,12.180
2006-07-20,0.00,25.233
2006-07-20,2.00,25.236
2006-07-20,4.00,25.247
2006-07-20,8.00,17.631
2006-07-20,13.00,12.214
2006-08-08,0.00,26.580
2006-08-08,0.50,26.543
2006-08-08,1.00,26.412
2006-08-08,1.50,26.220
2006-08-08,2.00,26.121
2006-08-08,2.50,25.971
2006-08-08,3.00,25.822
2006-08-08,3.50,26.013
2006-08-08,4.00,25.943
2006-08-08,4.50,25.872
2006-08-08,5.00,25.840
2006-08-08,5.50,25.848
2006-08-08,6.00,25.777
2006-08-08,6.50,25.737
2006-08-08,7.00,25.617
2006-08-08,8.00,23.302
2006-08-08,9.00,20.856
2006-08-08,10.00,17.620
2006-08-08,11.00,15.267
2006-08-08,12.00,13.271
2006-08-08,13.00,12.257
2006-08-08,14.00,12.046
2006-08-08,15.00,11.769
2006-08-09,0.00,26.225
2006-08-09,0.50,26.249
2006-08-09,1.00,26.189
2006-08-09,1.50,26.039
2006-08-09,2.00,25.946
2006-08-09,2.50,25.791
2006-08-09,3.00,25.633
2006-08-09,3.50,25.774
2006-08-09,4.00,25.698
2006-08-09,4.50,25.642
2006-08-09,5.00,25.619
2006-08-09,5.50,25.638
2006-08-09,6.00,25.558
2006-08-09,6.50,25.595
2006-08-09,7.00,25.574
2006-08-09,8.00,23.876
2006-08-09,9.00,19.984
2006-08-09,10.00,17.079
2006-08-09,11.00,14.964
2006-08-09,12.00,13.483
2006-08-09,13.00,12.739
2006-08-09,14.00,12.265
2006-08-09,15.00,11.949
2006-08-10,0.00,26.045
2006-08-10,0.50,26.094
2006-08-10,1.00,26.105
2006-08-10,1.50,26.087
2006-08-10,2.00,26.088
2006-08-10,2.50,25.974
2006-08-10,3.00,25.807
2006-08-10,3.50,25.951
2006-08-10,4.00,25.858
2006-08-10,4.50,25.791
2006-08-10,5.00,25.762
2006-08-10,5.50,25.759
2006-08-10,6.00,25.670
2006-08-10,6.50,25.673
2006-08-10,7.00,25.602
2006-08-10,8.00,23.736
2006-08-10,9.00,21.129
2006-08-10,10.00,18.429
2006-08-10,11.00,15.674
2006-08-10,12.00,13.951
2006-08-10,13.00,12.996
2006-08-10,14.00,12.469
2006-08-10,15.00,12.088
2006-08-11,0.00,25.275
2006-08-11,0.50,25.388
2006-08-11,1.00,25.423
2006-08-11,1.50,25.406
2006-08-11,2.00,25.411
2006-08-11,2.50,25.318
2006-08-11,3.00,25.216
2006-08-11,3.50,25.402
2006-08-11,4.00,25.365
2006-08-11,4.50,25.307
2006-08-11,5.00,25.277
2006-08-11,5.50,25.296
2006-08-11,6.00,25.148
2006-08-11,6.50,25.274
2006-08-11,7.00,25.249
2006-08-11,8.00,25.032
2006-08-11,9.00,21.124
2006-08-11,10.00,18.319
2006-08-11,11.00,15.124
2006-08-11,12.00,13.112
2006-08-11,13.00,12.466
2006-08-11,14.00,12.097
2006-08-11,15.00,11.827
2006-08-12,0.00,25.280
2006-08-12,0.50,25.338
2006-08-12,1.00,25.355
2006-08-12,1.50,25.316
2006-08-12,2.00,25.293
2006-08-12,2.50,25.136
2006-08-12,3.00,24.998
2006-08-12,3.50,25.121
2006-08-12,4.00,25.040
2006-08-12,4.50,24.945
2006-08-12,5.00,24.877
2006-08-12,5.50,24.874
2006-08-12,6.00,24.801
2006-08-12,6.50,24.784
2006-08-12,7.00,24.723
2006-08-12,8.00,24.372
2006-08-12,9.00,20.887
2006-08-12,10.00,17.174
2006-08-12,11.00,14.074
2006-08-12,12.00,13.040
2006-08-12,13.00,12.649
2006-08-12,14.00,12.375
2006-08-12,15.00,12.095
2006-08-13,0.00,24.903
2006-08-13,0.50,24.961
2006-08-13,1.00,24.993
2006-08-13,1.50,24.980
2006-08-13,2.00,24.990
2006-08-13,2.50,24.842
2006-08-13,3.00,24.797
2006-08-13,3.50,24.980
2006-08-13,4.00,24.923
2006-08-13,4.50,24.814
2006-08-13,5.00,24.717
2006-08-13,5.50,24.650
2006-08-13,6.00,24.646
2006-08-13,6.50,24.505
2006-08-13,7.00,24.485
2006-08-13,8.00,24.237
2006-08-13,9.00,19.885
2006-08-13,10.00,16.802
2006-08-13,11.00,14.972
2006-08-13,12.00,13.854
2006-08-13,13.00,13.273
2006-08-13,14.00,12.687
2006-08-13,15.00,12.126
2006-08-14,0.00,24.826
2006-08-14,0.50,24.816
2006-08-14,1.00,24.856
2006-08-14,1.50,24.849
2006-08-14,2.00,24.866
2006-08-14,2.50,24.675
2006-08-14,3.00,24.686
2006-08-14,3.50,24.887
2006-08-14,4.00,24.856
2006-08-14,4.50,24.816
2006-08-14,5.00,24.786
2006-08-14,5.50,24.821
2006-08-14,6.00,24.776
2006-08-14,6.50,24.774
2006-08-14,7.00,24.723
2006-08-14,8.00,22.229
2006-08-14,9.00,18.575
2006-08-14,10.00,16.064
2006-08-14,11.00,14.337
2006-08-14,12.00,12.816
2006-08-14,13.00,12.279
2006-08-14,14.00,11.917
2006-08-14,15.00,11.642
2006-08-15,0.00,24.840
2006-08-15,0.50,24.813
2006-08-15,1.00,24.826
2006-08-15,1.50,24.776
2006-08-15,2.00,24.749
2006-08-15,2.50,24.569
2006-08-15,3.00,24.499
2006-08-15,3.50,24.654
2006-08-15,4.00,24.601
2006-08-15,4.50,24.490
2006-08-15,5.00,24.435
2006-08-15,5.50,24.453
2006-08-15,6.00,24.547
2006-08-15,6.50,24.402
2006-08-15,7.00,24.303
2006-08-15,8.00,21.881
2006-08-15,9.00,18.050
2006-08-15,10.00,16.238
2006-08-15,11.00,14.831
2006-08-15,12.00,13.742
2006-08-15,13.00,12.716
2006-08-15,14.00,12.301
2006-08-15,15.00,12.034
2006-08-16,0.00,25.327
2006-08-16,0.50,25.255
2006-08-16,1.00,25.175
2006-08-16,1.50,24.991
2006-08-16,2.00,24.820
2006-08-16,2.50,24.544
2006-08-16,3.00,24.471
2006-08-16,3.50,24.614
2006-08-16,4.00,24.566
2006-08-16,4.50,24.500
2006-08-16,5.00,24.460
2006-08-16,5.50,24.420
2006-08-16,6.00,24.399
2006-08-16,6.50,24.185
2006-08-16,7.00,23.919
2006-08-16,8.00,22.224
2006-08-16,9.00,19.743
2006-08-16,10.00,16.598
2006-08-16,11.00,14.954
2006-08-16,12.00,13.412
2006-08-16,13.00,12.643
2006-08-16,14.00,12.040
2006-08-16,15.00,11.607
2006-08-17,0.00,24.432
2006-08-17,0.50,24.326
2006-08-17,1.00,24.364
2006-08-17,1.50,24.350
2006-08-17,2.00,24.381
2006-08-17,2.50,24.347
2006-08-17,3.00,24.184
2006-08-17,3.50,24.369
2006-08-17,4.00,24.334
2006-08-17,4.50,24.274
2006-08-17,5.00,24.242
2006-08-17,5.50,24.249
2006-08-17,6.00,24.278
2006-08-17,6.50,24.079
2006-08-17,7.00,23.929
2006-08-17,8.00,23.157
2006-08-17,9.00,20.412
2006-08-17,10.00,16.609
2006-08-17,11.00,14.270
2006-08-17,12.00,13.055
2006-08-17,13.00,12.417
2006-08-17,14.00,11.962
2006-08-17,15.00,11.649
2006-08-18,0.00,24.261
2006-08-18,0.50,24.168
2006-08-18,1.00,24.195
2006-08-18,1.50,24.165
2006-08-18,2.00,24.198
2006-08-18,2.50,24.253
2006-08-18,3.00,23.986
2006-08-18,3.50,24.162
2006-08-18,4.00,24.124
2006-08-18,4.50,24.063
2006-08-18,5.00,24.026
2006-08-18,5.50,24.047
2006-08-18,6.00,24.063
2006-08-18,6.50,23.978
2006-08-18,7.00,23.903
2006-08-18,8.00,22.629
2006-08-18,9.00,19.930
2006-08-18,10.00,16.464
2006-08-18,11.00,13.303
2006-08-18,12.00,12.734
2006-08-18,13.00,12.354
2006-08-18,14.00,12.067
2006-08-18,15.00,11.818
2006-08-19,0.00,24.049
2006-08-19,0.50,23.988
2006-08-19,1.00,24.022
2006-08-19,1.50,23.996
2006-08-19,2.00,24.044
2006-08-19,2.50,24.101
2006-08-19,3.00,23.855
2006-08-19,3.50,24.045
2006-08-19,4.00,24.021
2006-08-19,4.50,23.973
2006-08-19,5.00,23.953
2006-08-19,5.50,23.992
2006-08-19,6.00,23.987
2006-08-19,6.50,23.827
2006-08-19,7.00,23.447
2006-08-19,8.00,20.116
2006-08-19,9.00,15.914
2006-08-19,10.00,13.993
2006-08-19,11.00,13.244
2006-08-19,12.00,12.770
2006-08-19,13.00,12.475
2006-08-19,14.00,12.103
2006-08-19,15.00,11.775
2006-08-20,0.00,24.679
2006-08-20,0.50,24.014
2006-08-20,1.00,23.981
2006-08-20,1.50,23.899
2006-08-20,2.00,23.902
2006-08-20,2.50,23.886
2006-08-20,3.00,23.659
2006-08-20,3.50,23.812
2006-08-20,4.00,23.775
2006-08-20,4.50,23.722
2006-08-20,5.00,23.692
2006-08-20,5.50,23.726
2006-08-20,6.00,23.736
2006-08-20,6.50,23.660
2006-08-20,7.00,23.053
2006-08-20,8.00,17.454
2006-08-20,9.00,15.218
2006-08-20,10.00,14.266
2006-08-20,11.00,13.320
2006-08-20,12.00,12.425
2006-08-20,13.00,11.859
2006-08-20,14.00,11.472
2006-08-20,15.00,11.273
2006-08-21,0.00,24.154
2006-08-21,0.50,24.024
2006-08-21,1.00,24.039
2006-08-21,1.50,23.980
2006-08-21,2.00,24.012
2006-08-21,2.50,24.018
2006-08-21,3.00,23.770
2006-08-21,3.50,23.912
2006-08-21,4.00,23.862
2006-08-21,4.50,23.785
2006-08-21,5.00,23.720
2006-08-21,5.50,23.694
2006-08-21,6.00,23.572
2006-08-21,6.50,23.149
2006-08-21,7.00,22.082
2006-08-21,8.00,17.389
2006-08-21,9.00,15.346
2006-08-21,10.00,13.941
2006-08-21,11.00,12.913
2006-08-21,12.00,12.347
2006-08-21,13.00,11.876
2006-08-21,14.00,11.584
2006-08-21,15.00,11.406
2006-08-22,0.00,24.735
2006-08-22,0.50,24.304
2006-08-22,1.00,24.220
2006-08-22,1.50,24.132
2006-08-22,2.00,24.132
2006-08-22,2.50,24.143
2006-08-22,3.00,23.878
2006-08-22,3.50,24.017
2006-08-22,4.00,23.941
2006-08-22,4.50,23.816
2006-08-22,5.00,23.633
2006-08-22,5.50,23.408
2006-08-22,6.00,22.930
2006-08-22,6.50,22.319
2006-08-22,7.00,21.399
2006-08-22,8.00,18.518
2006-08-22,9.00,15.895
2006-08-22,10.00,14.256
2006-08-22,11.00,12.926
2006-08-22,12.00,12.338
2006-08-22,13.00,11.891
2006-08-22,14.00,11.619
2006-08-22,15.00,11.404
2006-08-23,0.00,24.975
2006-08-23,0.50,24.529
2006-08-23,1.00,24.482
2006-08-23,1.50,24.378
2006-08-23,2.00,24.328
2006-08-23,2.50,24.306
2006-08-23,3.00,23.982
2006-08-23,3.50,23.958
2006-08-23,4.00,23.804
2006-08-23,4.50,23.666
2006-08-23,5.00,23.549
2006-08-23,5.50,23.386
2006-08-23,6.00,23.102
2006-08-23,6.50,22.759
2006-08-23,7.00,22.022
2006-08-23,8.00,19.136
2006-08-23,9.00,16.015
2006-08-23,10.00,14.073
2006-08-23,11.00,12.853
2006-08-23,12.00,12.352
2006-08-23,13.00,12.026
2006-08-23,14.00,11.725
2006-08-23,15.00,11.517
2006-08-24,0.00,24.004
2006-08-24,0.50,23.936
2006-08-24,1.00,23.974
2006-08-24,1.50,23.935
2006-08-24,2.00,23.977
2006-08-24,2.50,23.982
2006-08-24,3.00,23.731
2006-08-24,3.50,23.851
2006-08-24,4.00,23.783
2006-08-24,4.50,23.703
2006-08-24,5.00,23.626
2006-08-24,5.50,23.590
2006-08-24,6.00,23.414
2006-08-24,6.50,23.005
2006-08-24,7.00,22.436
2006-08-24,8.00,20.378
2006-08-24,9.00,16.580
2006-08-24,10.00,14.249
2006-08-24,11.00,13.051
2006-08-24,12.00,12.489
2006-08-24,13.00,12.174
2006-08-24,14.00,11.838
2006-08-24,15.00,11.600
2006-08-25,0.00,23.751
2006-08-25,0.50,23.690
2006-08-25,1.00,23.736
2006-08-25,1.50,23.693
2006-08-25,2.00,23.750
2006-08-25,2.50,23.731
2006-08-25,3.00,23.546
2006-08-25,3.50,23.725
2006-08-25,4.00,23.673
2006-08-25,4.50,23.610
2006-08-25,5.00,23.561
2006-08-25,5.50,23.567
2006-08-25,6.00,23.483
2006-08-25,6.50,23.187
2006-08-25,7.00,22.583
2006-08-25,8.00,20.040
2006-08-25,9.00,17.112
2006-08-25,10.00,14.736
2006-08-25,11.00,13.743
2006-08-25,12.00,12.870
2006-08-25,13.00,12.305
2006-08-25,14.00,12.022
2006-08-25,15.00,11.805
2006-08-26,0.00,23.597
2006-08-26,0.50,23.535
2006-08-26,1.00,23.582
2006-08-26,1.50,23.536
2006-08-26,2.00,23.591
2006-08-26,2.50,23.558
2006-08-26,3.00,23.392
2006-08-26,3.50,23.595
2006-08-26,4.00,23.556
2006-08-26,4.50,23.508
2006-08-26,5.00,23.480
2006-08-26,5.50,23.513
2006-08-26,6.00,23.493
2006-08-26,6.50,23.288
2006-08-26,7.00,22.278
2006-08-26,8.00,18.350
2006-08-26,9.00,15.663
2006-08-26,10.00,14.250
2006-08-26,11.00,13.414
2006-08-26,12.00,12.680
2006-08-26,13.00,12.165
2006-08-26,14.00,11.805
2006-08-26,15.00,11.523
2006-08-27,0.00,23.624
2006-08-27,0.50,23.519
2006-08-27,1.00,23.555
2006-08-27,1.50,23.499
2006-08-27,2.00,23.551
2006-08-27,2.50,23.508
2006-08-27,3.00,23.335
2006-08-27,3.50,23.507
2006-08-27,4.00,23.452
2006-08-27,4.50,23.400
2006-08-27,5.00,23.376
2006-08-27,5.50,23.418
2006-08-27,6.00,23.433
2006-08-27,6.50,23.388
2006-08-27,7.00,23.145
2006-08-27,8.00,19.296
2006-08-27,9.00,15.882
2006-08-27,10.00,13.948
2006-08-27,11.00,13.008
2006-08-27,12.00,12.417
2006-08-27,13.00,12.055
2006-08-27,14.00,11.755
2006-08-27,15.00,11.541
2006-08-28,0.00,23.331
2006-08-28,0.50,23.279
2006-08-28,1.00,23.330
2006-08-28,1.50,23.288
2006-08-28,2.00,23.355
2006-08-28,2.50,23.315
2006-08-28,3.00,23.162
2006-08-28,3.50,23.369
2006-08-28,4.00,23.331
2006-08-28,4.50,23.288
2006-08-28,5.00,23.268
2006-08-28,5.50,23.318
2006-08-28,6.00,23.334
2006-08-28,6.50,23.290
2006-08-28,7.00,23.118
2006-08-28,8.00,19.222
2006-08-28,9.00,15.643
2006-08-28,10.00,14.080
2006-08-28,11.00,13.320
2006-08-28,12.00,12.517
2006-08-28,13.00,12.118
2006-08-28,14.00,11.760
2006-08-28,15.00,11.528
2006-08-29,0.00,23.254
2006-08-29,0.50,23.132
2006-08-29,1.00,23.161
2006-08-29,1.50,23.101
2006-08-29,2.00,23.136
2006-08-29,2.50,23.061
2006-08-29,3.00,22.877
2006-08-29,3.50,23.032
2006-08-29,4.00,22.988
2006-08-29,4.50,22.946
2006-08-29,5.00,22.918
2006-08-29,5.50,22.961
2006-08-29,6.00,22.970
2006-08-29,6.50,22.931
2006-08-29,7.00,22.939
2006-08-29,8.00,18.944
2006-08-29,9.00,15.486
2006-08-29,10.00,13.928
2006-08-29,11.00,12.954
2006-08-29,12.00,12.386
2006-08-29,13.00,11.990
2006-08-29,14.00,11.736
2006-08-29,15.00,11.543
2006-08-30,0.00,23.096
2006-08-30,0.50,23.028
2006-08-30,1.00,23.068
2006-08-30,1.50,23.027
2006-08-30,2.00,23.080
2006-08-30,2.50,23.030
2006-08-30,3.00,22.872
2006-08-30,3.50,23.062
2006-08-30,4.00,23.013
2006-08-30,4.50,22.968
2006-08-30,5.00,22.929
2006-08-30,5.50,22.964
2006-08-30,6.00,22.971
2006-08-30,6.50,22.931
2006-08-30,7.00,22.919
2006-08-30,8.00,19.860
2006-08-30,9.00,16.349
2006-08-30,10.00,14.519
2006-08-30,11.00,13.404
2006-08-30,12.00,12.630
2006-08-30,13.00,12.140
2006-08-30,14.00,11.842
2006-08-30,15.00,11.606
2006-08-31,0.00,22.780
2006-08-31,0.50,22.709
2006-08-31,1.00,22.752
2006-08-31,1.50,22.752
2006-08-31,2.00,22.774
2006-08-31,2.50,22.718
2006-08-31,3.00,22.565
2006-08-31,3.50,22.756
2006-08-31,4.00,22.709
2006-08-31,4.50,22.672
2006-08-31,5.00,22.637
2006-08-31,5.50,22.678
2006-08-31,6.00,22.684
2006-08-31,6.50,22.659
2006-08-31,7.00,22.687
2006-08-31,8.00,21.556
2006-08-31,9.00,17.538
2006-08-31,10.00,14.763
2006-08-31,11.00,13.015
2006-08-31,12.00,12.165
2006-08-31,13.00,11.926
2006-08-31,14.00,11.652
2006-08-31,15.00,11.501
2006-09-01,0.00,22.621
2006-09-01,0.50,22.534
2006-09-01,1.00,22.572
2006-09-01,1.50,22.547
2006-09-01,2.00,22.571
2006-09-01,2.50,22.489
2006-09-01,3.00,22.326
2006-09-01,3.50,22.512
2006-09-01,4.00,22.449
2006-09-01,4.50,22.408
2006-09-01,5.00,22.362
2006-09-01,5.50,22.387
2006-09-01,6.00,22.403
2006-09-01,6.50,22.364
2006-09-01,7.00,22.379
2006-09-01,8.00,22.066
2006-09-01,9.00,16.763
2006-09-01,10.00,14.148
2006-09-01,11.00,12.656
2006-09-01,12.00,12.219
2006-09-01,13.00,12.012
2006-09-01,14.00,11.773
